2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions (18+) - DMC23,Plan All-Cause Readmissions (18-64) - DMC24,Plan All-Cause Readmissions (65+) - DMC25,Physical Functioning Activities of Daily Living - DMC26,Care of Older Adults - Functional Status - DMC27,Kidney Health Evaluation for Patients With Diabetes - DMC28,Improving or Maintaining Physical Health - DMC29,Improving or Maintaining Mental Health - DMC30,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H9884,Devoted Health,DEVOTED HEALTH INSURANCE COMPANY,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9900,Wellcare,"WELLCARE OF OKLAHOMA, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9904,Mass Advantage,"CENTRAL MASS HEALTH, LLC",Central Mass Health Holding LLC,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9909,American Health Advantage of MS,"AMERICAN HEALTH PLAN OF MS, INC.","American Health Companies, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:10,Plan too small to be measured,Plan too small to be measured,2.34%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,No data available,No data available,2.34%,0:10,No data available,0:22,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No Data Available,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9917,Align Senior Care,"ALIGN SENIOR CARE FLORIDA, INC.","Innovative Long Term Care Management, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,0:14,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,0.00%,0:14,No data available,0:03,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9942,Longevity Health Plan,LONGEVITY HEALTH PLAN OF NEW JERSEY INSURANCE COMP,"Longevity Health Founders, LLC",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,0:24,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,100%,Plan too small to be measured,No data available,No data available,0.00%,0:24,No data available,0:03,63,Plan too new to be measured,Plan too new to be measured,2%,2%,14.97%,12.52%,No data available,16.04%,10.53%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9952,Medica,MEDICA HEALTH PLANS,Medica Holding Company,75%,85%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,1:45,39%,97%,0.78%,Not enough data available,Not enough data available,42%,10%,Not enough data available,63%,71%,48%,34%,84%,32%,49%,12%,12%,Not enough data available,No data available,Not enough data available,21%,No data available,No data available,0.78%,1:45,103,0:09,53,53%,36%,No data available,No data available,23.26%,12.10%,2.43%,No data available,No data available,2.67,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9955,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,0:35,Plan too new to be measured,Plan too new to be measured,3.13%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,3.13%,0:35,No data available,0:39,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9976,Wellcare by Allwell,"WESTERN SKY COMMUNITY CARE, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9986,Florida Complete Care,"HPMP OF FLORIDA, INC.","Independent Living Systems, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
R0110,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,36%,68%,82%,60%,29%,94,0:23,64%,96%,1.05%,78%,81%,46%,7%,19%,69%,72%,74%,6%,84%,9%,43%,13%,13%,13%,93%,Plan not required to report measure,23%,67%,76%,1.05%,0:23,100,0:15,89,70%,32%,8%,9%,14.34%,6.20%,0.55%,7.86%,5.37%,1.49,10%,17%,32%,7%,6%,100
R0759,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",43%,60%,90%,77%,30%,Plan too new to be measured,0:52,64%,95%,2.23%,66%,81%,30%,3%,17%,63%,57%,69%,6%,83%,2%,40%,14%,14%,14%,98%,78%,44%,74%,74%,2.23%,0:52,100,0:39,61,54%,32%,7%,5%,26.60%,15.06%,0.39%,11.81%,9.00%,3.96,11%,14%,22%,Not Available,11%,100
R0802,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Health Care, Inc.",Not enough data available,74%,Not enough data available,84%,Not enough data available,92,0:58,70%,95%,3.10%,Not enough data available,Not enough data available,31%,11%,7%,53%,55%,73%,58%,96%,55%,70%,8%,0%,8%,No data available,Plan not required to report measure,17%,No data available,No data available,3.10%,0:58,100,0:24,86,33%,13%,17%,No data available,17.83%,7.43%,No data available,6.93%,2.03%,4.64,5%,6%,51%,6%,5%,100
R0865,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,52%,68%,100%,71%,21%,93,0:23,71%,96%,1.01%,73%,78%,42%,6%,19%,67%,68%,78%,9%,87%,6%,45%,12%,11%,13%,92%,Plan not required to report measure,27%,68%,78%,1.01%,0:23,100,0:15,88,60%,32%,8%,8%,21.82%,5.29%,0.31%,11.09%,7.39%,0.91,9%,7%,29%,6%,6%,100
R0923,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,75%,Not enough data available,73%,23%,No data available,0:23,69%,94%,1.07%,66%,78%,43%,7%,16%,67%,65%,80%,4%,87%,6%,44%,12%,10%,12%,94%,Plan not required to report measure,32%,74%,79%,1.07%,0:23,100,0:15,89,60%,31%,9%,9%,17.36%,8.77%,0.23%,7.96%,6.48%,1.08,13%,12%,27%,Not Available,9%,100
R1390,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,45%,67%,96%,72%,26%,No data available,0:23,72%,96%,1.07%,79%,81%,41%,5%,17%,66%,60%,78%,7%,88%,7%,45%,12%,12%,12%,97%,Plan not required to report measure,35%,66%,80%,1.07%,0:23,100,0:15,89,70%,36%,9%,8%,18.27%,11.71%,0.33%,8.94%,5.69%,1.28,9%,9%,37%,Not Available,8%,100
R1532,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,59%,Not enough data available,63%,13%,No data available,0:23,67%,91%,1.05%,65%,62%,32%,2%,18%,65%,68%,75%,12%,83%,10%,45%,11%,14%,10%,96%,Plan not required to report measure,26%,66%,82%,1.05%,0:23,100,0:15,88,53%,26%,5%,No data available,24.02%,4.86%,0.51%,8.83%,8.07%,1.66,20%,22%,23%,Not Available,14%,100
R1548,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE CO. OF THE RIVER VALLEY,"UnitedHealth Group, Inc.",44%,59%,87%,58%,23%,92,0:43,58%,98%,2.34%,72%,83%,35%,6%,24%,71%,53%,58%,10%,79%,6%,38%,14%,14%,14%,No data available,69%,28%,No data available,No data available,2.34%,0:43,100,0:39,64,67%,51%,8%,7%,16.68%,8.56%,0.50%,14.87%,9.64%,0.8,15%,20%,19%,Not Available,10%,100
R2604,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",46%,58%,86%,66%,31%,92,0:54,64%,97%,2.16%,67%,80%,43%,4%,20%,57%,54%,63%,11%,83%,5%,40%,12%,12%,12%,98%,80%,30%,74%,74%,2.16%,0:54,100,0:39,62,58%,45%,8%,11%,20.25%,7.05%,0.53%,12.27%,8.83%,3.44,8%,10%,29%,Not Available,5%,100
R3175,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",61%,58%,Not enough data available,70%,15%,No data available,0:35,54%,95%,1.56%,66%,90%,31%,8%,15%,68%,52%,46%,8%,73%,3%,33%,12%,14%,12%,94%,64%,56%,65%,75%,1.56%,0:35,100,0:39,62,67%,48%,8%,3%,19.77%,11.30%,0.25%,9.82%,8.55%,1.42,Not Available,Not Available,Not Available,Not Available,Not Available,100
R3332,Florida Blue,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Guidewell Mutual Holding Corporation,53%,66%,92%,91%,37%,93,0:39,70%,96%,2.50%,75%,82%,20%,1%,12%,69%,60%,32%,2%,82%,1%,29%,10%,13%,10%,96%,Plan not required to report measure,47%,69%,83%,2.50%,0:39,100,0:16,91,46%,24%,9%,6%,24.32%,13.34%,0.22%,4.88%,5.82%,4.55,12%,12%,40%,11%,9%,100
R3392,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,53%,69%,91%,81%,34%,No data available,0:23,72%,96%,1.07%,71%,79%,41%,6%,14%,68%,59%,78%,3%,85%,3%,42%,11%,11%,11%,95%,Plan not required to report measure,30%,75%,79%,1.07%,0:23,100,0:15,89,59%,27%,8%,7%,21.26%,9.33%,0.26%,6.81%,6.74%,1.18,9%,13%,37%,7%,7%,100
R3444,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",45%,60%,88%,63%,21%,92,0:51,63%,96%,2.12%,72%,81%,42%,4%,22%,49%,55%,63%,8%,87%,5%,41%,13%,13%,14%,93%,70%,23%,67%,79%,2.12%,0:51,100,0:39,63,51%,36%,7%,9%,23.39%,4.91%,0.38%,14.01%,9.69%,3.25,14%,17%,35%,Not Available,9%,100
R3887,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,67%,Not enough data available,71%,22%,No data available,0:23,68%,94%,1.01%,82%,82%,38%,3%,17%,67%,61%,70%,10%,85%,6%,43%,12%,12%,12%,93%,Plan not required to report measure,35%,65%,72%,1.01%,0:23,100,0:15,89,61%,37%,6%,4%,18.62%,7.27%,0.43%,6.99%,5.60%,1.23,8%,6%,27%,Not Available,8%,100
R4182,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,40%,65%,93%,78%,24%,94,0:23,78%,94%,1.04%,72%,81%,38%,4%,17%,65%,58%,79%,6%,80%,1%,41%,12%,12%,12%,97%,Plan not required to report measure,32%,72%,79%,1.04%,0:23,100,0:15,88,62%,32%,6%,3%,18.54%,5.48%,0.09%,6.63%,6.19%,1.64,15%,13%,31%,Not Available,9%,100
R4487,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Inc.,50%,61%,95%,73%,27%,93,0:37,70%,95%,4.38%,72%,76%,33%,5%,20%,60%,58%,79%,0%,85%,0%,41%,13%,13%,13%,91%,Plan not required to report measure,28%,62%,79%,0.63%,0:10,100,0:41,93,47%,27%,8%,9%,19.55%,6.13%,0.08%,9.10%,5.84%,CMS Found Issues with Plan's Data,17%,12%,49%,10%,11%,100
R4845,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,66%,Not enough data available,56%,11%,No data available,0:23,62%,92%,1.04%,68%,75%,36%,5%,14%,64%,60%,74%,10%,85%,9%,45%,13%,15%,13%,95%,Plan not required to report measure,23%,68%,75%,1.04%,0:23,100,0:15,88,42%,20%,7%,No data available,15.77%,8.40%,0.25%,8.87%,7.64%,2.28,22%,20%,24%,Not Available,16%,100
R5329,UnitedHealthcare,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",Not enough data available,71%,Not enough data available,88%,33%,No data available,0:42,80%,96%,2.53%,82%,80%,38%,6%,13%,32%,59%,65%,15%,90%,11%,45%,8%,7%,8%,99%,Plan not required to report measure,27%,71%,76%,2.53%,0:42,101,0:39,61,42%,16%,8%,No data available,21.88%,13.01%,No data available,4.58%,4.01%,3.78,8%,4%,39%,5%,6%,100
R5342,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,"UnitedHealth Group, Inc.",67%,67%,92%,82%,34%,No data available,0:48,72%,95%,1.55%,76%,80%,43%,7%,15%,43%,59%,64%,24%,82%,11%,45%,12%,11%,12%,96%,Plan not required to report measure,39%,63%,78%,1.55%,0:48,100,0:39,62,55%,27%,9%,11%,16.52%,9.92%,0.12%,7.11%,4.11%,4.35,14%,24%,26%,Not Available,9%,100
R5361,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,52%,68%,Not enough data available,68%,19%,92,0:23,73%,93%,1.05%,65%,71%,50%,9%,15%,71%,68%,81%,34%,88%,23%,56%,13%,12%,13%,93%,Plan not required to report measure,35%,69%,82%,1.05%,0:23,100,0:15,86,60%,32%,9%,10%,21.87%,7.14%,0.36%,9.68%,5.43%,1.47,14%,18%,25%,Not Available,12%,100
R5495,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,48%,75%,Not enough data available,67%,24%,93,0:23,73%,94%,1.07%,71%,65%,38%,6%,20%,70%,65%,78%,6%,88%,4%,44%,12%,18%,12%,97%,Plan not required to report measure,32%,66%,81%,1.07%,0:23,100,0:15,88,65%,44%,7%,5%,18.76%,7.03%,0.29%,6.96%,7.04%,0.77,10%,7%,29%,Not Available,11%,100
R5826,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,44%,63%,100%,71%,28%,No data available,0:23,70%,93%,1.01%,69%,79%,26%,2%,15%,71%,61%,78%,10%,87%,6%,45%,13%,13%,13%,98%,Plan not required to report measure,43%,70%,87%,1.01%,0:23,100,0:15,88,53%,22%,7%,4%,22.72%,10.80%,0.26%,6.49%,5.80%,1.78,17%,18%,26%,7%,8%,100
R5941,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Inc.,52%,62%,94%,77%,29%,94,0:37,76%,94%,4.38%,70%,71%,39%,7%,19%,67%,60%,84%,3%,78%,2%,42%,15%,16%,15%,91%,Plan not required to report measure,32%,62%,79%,2.36%,0:09,100,0:41,93,47%,26%,8%,7%,17.45%,6.31%,0.08%,7.71%,4.84%,CMS Found Issues with Plan's Data,11%,10%,40%,Not Available,9%,80
R6694,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,CVS Health Corporation,Not enough data available,65%,Not enough data available,81%,34%,92,0:31,77%,96%,0.50%,83%,88%,37%,3%,10%,49%,53%,95%,1%,78%,1%,44%,10%,12%,9%,97%,Plan not required to report measure,40%,72%,79%,0.50%,0:31,101,0:40,93,54%,29%,7%,No data available,21.41%,11.26%,0.35%,7.41%,4.99%,1.14,8%,6%,54%,Not Available,8%,100
R6801,UnitedHealthcare,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,"UnitedHealth Group, Inc.",43%,56%,88%,68%,26%,92,0:50,66%,96%,2.22%,66%,77%,38%,3%,18%,44%,53%,42%,3%,78%,1%,31%,12%,12%,12%,90%,61%,32%,65%,75%,2.22%,0:50,100,0:39,62,56%,40%,6%,6%,18.38%,4.54%,0.21%,10.20%,7.02%,4.19,10%,15%,29%,8%,8%,100
R7220,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,61%,Not enough data available,76%,26%,No data available,0:25,60%,91%,1.16%,76%,73%,32%,4%,13%,64%,67%,74%,6%,85%,2%,42%,12%,12%,12%,94%,Plan not required to report measure,38%,63%,75%,1.16%,0:25,100,0:15,89,56%,18%,6%,No data available,10.62%,15.38%,0.14%,7.04%,4.90%,1.97,9%,9%,27%,Not Available,9%,100
R7315,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,42%,65%,Not enough data available,72%,25%,No data available,0:23,70%,93%,1.01%,75%,81%,35%,6%,14%,68%,58%,78%,6%,85%,2%,43%,12%,12%,12%,94%,Plan not required to report measure,25%,67%,80%,1.01%,0:23,100,0:15,88,55%,27%,8%,5%,20.72%,6.66%,0.30%,9.20%,7.05%,1.55,9%,11%,32%,Not Available,6%,100
R7444,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",54%,70%,98%,83%,35%,No data available,0:42,78%,95%,2.53%,75%,79%,44%,7%,15%,36%,56%,60%,17%,85%,13%,44%,12%,13%,12%,98%,Plan not required to report measure,43%,74%,74%,2.53%,0:42,101,0:39,61,46%,14%,9%,8%,18.73%,11.68%,0.09%,7.11%,4.50%,3.18,11%,12%,31%,8%,9%,100
S0586,MVP Health Care,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,45%,21%,9%,No data available,4.36%,5.48%,No data available,4.92%,3.42%,6.3,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S0655,Tufts Health Plan,TUFTS INSURANCE COMPANY,"Point32Health, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,55%,21%,8%,8%,15.38%,4.14%,0.80%,5.78%,3.83%,0.82,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S1030,BlueRx (PDP),BCBS OF ALABAMA & UTIC INSURANCE COMPANY,BlueCross BlueShield of Alabama,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,1.88%,0:09,100,0:14,92,52%,21%,12%,19%,18.62%,4.96%,0.16%,6.59%,7.46%,1.11,Not Applicable,Not Applicable,49%,12%,6%,100
