CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Pneumonia Vaccine - DMC10,Access to Primary Care Doctor Visits - DMC11,Calls Disconnected When Customer Calls Health Plan - DMC12,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC13,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC14,Initiation of Alcohol or other Drug Treatment - DMC15,Engagement of Alcohol or other Drug Treatment - DMC16,Reminders for Appointments - DMC17,Reminders for Immunizations - DMC18,Reminders for Screening Tests - DMC19,Computer Used during Office Visits - DMC20,Computer Use by Doctor Helpful - DMC21,Computer Use Made Talking with Doctor Easier - DMC22,Improving Bladder Control - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H9492,StableView Health,STABLEVIEW HEALTH,Catholic Health Initiatives,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9525,Anthem Blue Cross and Blue Shield,COMPCARE HEALTH SERVICES INSURANCE CORPORATION,Anthem Inc.,Not enough data available,83%,Not enough data available,Not enough data available,90%,77%,Not enough data available,Not enough data available,0:47,69%,94%,2.34%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,60%,51%,48%,93%,Not enough data available,Not enough data available,35%,No data available,No data available,2.34%,0:47,4.3%,0.86%,100%,105,No data available,Not enough data available,0:09,96,No data available,0.0%,34%,19%,97%,1.05,21%,20%,42%,8%,23%
H9572,Blue Cross Blue Shield of Michigan,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY,Blue Cross Blue Shield of Michigan,67%,83%,65%,93%,91%,86%,41%,91%,0:45,75%,97%,0.42%,74%,77%,46%,4%,54%,37%,30%,78%,90%,41%,36%,100%,No data available,0.82%,0:30,5.3%,0.65%,100%,99,12.65%,Not enough data available,0:10,98,No data available,No data available,35%,10%,95%,0.06,9%,9%,45%,7%,4%
H9576,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9585,BMC HealthNet Plan Senior Care Options,"BOSTON MEDICAL CENTER HEALTH PLAN, INC.",Boston Medical Center Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9615,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Not enough data available,67%,60%,93%,93%,84%,40%,92%,0:50,80%,97%,0.50%,80%,88%,44%,5%,52%,36%,29%,87%,91%,45%,44%,100%,100.00%,0.50%,0:50,5.8%,0.89%,100%,101,14.58%,82%,0:08,98,No data available,6.7%,36%,12%,88%,0.20,5%,2%,45%,5%,4%
H9685,Mercy Maricopa Advantage,MERCY MARICOPA INTEGRATED CARE,Southwest Catholic Health Network,89%,81%,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,0:42,53%,Not enough data available,0.00%,Not enough data available,Not enough data available,50%,5%,61%,34%,33%,83%,Not enough data available,51%,No data available,No data available,100.00%,0.00%,0:42,0.7%,0.00%,No data available,No data available,No data available,Not enough data available,0:11,No data available,0.0%,0.0%,39%,23%,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H9689,Health Alliance Medicare,"HEALTH ALLIANCE CONNECT, INC.",The Carle Foundation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9699,Health Advantage,"HMO PARTNERS, INC.",USAble Mutual Insurance Company,Not enough data available,90%,CMS Found Issues with Plan’s Data,Not enough data available,75%,No data available,Not enough data available,No data available,0:14,No data available,94%,0.51%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,0.00%,0:18,0.0%,0.00%,100%,101,No data available,No data available,0:13,98,No data available,0.0%,No data available,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available
H9712,HAP Midwest MI Health Link,"HAP MIDWEST HEALTH PLAN, INC.",Henry Ford Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9725,Cigna-Healthspring,"CIGNA HEALTHCARE OF NORTH CAROLINA, INC.",CIGNA,Not enough data available,79%,Not enough data available,Not enough data available,95%,No data available,Not enough data available,Not enough data available,0:07,74%,96%,2.93%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,48%,Not enough data available,92%,Not enough data available,Not enough data available,No data available,No data available,66.67%,2.93%,0:07,2.8%,0.36%,100%,96,No data available,Not enough data available,0:03,98,0.0%,0.0%,34%,21%,96%,2.65,35%,50%,12%,12%,21%
H9730,WellCare,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC","WellCare Health Plans, Inc.",38%,84%,45%,Not enough data available,91%,58%,Not enough data available,Not enough data available,0:15,53%,92%,3.60%,79%,79%,25%,2%,58%,42%,43%,88%,Not enough data available,54%,Not enough data available,100%,No data available,3.60%,0:15,5.0%,0.19%,100%,99,No data available,Not enough data available,0:10,98,0.0%,0.0%,47%,45%,98%,3.74,41%,45%,14%,21%,30%
H9788,ActiveSaver MSA or BlueSaver MSA,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,Not enough data available,97%,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,88%,Not enough data available,91%,Not enough data available,62%,89%,Not enough data available,Benefit not offered by plan ,Benefit not offered by plan ,Not enough data available,Not enough data available,48%,28%,27%,84%,Not enough data available,37%,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,1.51,16%,17%,25%,No data available,No data available
H9795,Montefiore Emerald Care FIDA Plan,"MONTEFIORE HMO, LLC","Montefiore Health Systems, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9808,HealthTeam Advantage,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,Moses H. Cone Memorial Hospital Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9834,Gundersen Health Plan Minnesota,GUNDERSEN HEALTH PLAN OF MINNESOTA,Gundersen Lutheran Health System Inc.,Not enough data available,87%,Not enough data available,Not enough data available,90%,93%,Not enough data available,No data available,0:02,No data available,94%,1.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,1.00%,0:02,2.4%,0.00%,100%,No data available,No data available,No data available,0:29,98,No data available,No data available,No data available,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available
H9847,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Aetna Inc.,44%,77%,66%,92%,92%,75%,35%,92%,0:04,70%,96%,1.68%,74%,84%,26%,4%,66%,52%,46%,88%,Not enough data available,61%,31%,100%,No data available,2.35%,0:13,5.7%,0.58%,No data available,98,12.50%,84%,0:11,96,0.0%,0.0%,39%,23%,98%,CMS Found Issues with Plan's Data,7%,15%,41%,8%,6%
H9857,Piedmont WellStar HealthPlans,"PIEDMONT WELLSTAR HEALTHPLANS, INC.","Piedmont WellStar HealthPlans, Inc.",Not enough data available,85%,75%,Not enough data available,94%,No data available,Not enough data available,Not enough data available,0:05,76%,97%,0.00%,65%,73%,33%,1%,58%,40%,37%,91%,Not enough data available,54%,No data available,79%,No data available,0.00%,0:05,4.6%,0.23%,No data available,99,No data available,Not enough data available,0:11,97,0.0%,0.0%,32%,9%,92%,CMS Found Issues with Plan's Data,21%,35%,14%,14%,13%
H9859,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Not enough data available,67%,60%,97%,93%,84%,32%,91%,0:50,81%,97%,0.50%,70%,82%,46%,2%,55%,40%,33%,85%,92%,45%,40%,100%,100.00%,0.50%,0:50,4.3%,0.61%,100%,102,17.54%,82%,0:08,98,No data available,6.7%,29%,9%,92%,0.23,6%,8%,48%,3%,3%
H9869,Partners Health Plan,"PARTNERS HEALTH PLAN, INC.","PHSI, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9870,Passport Advantage,"UNIVERSITY HEALTH CARE, INC.","University Health Care, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9886,Anthem Blue Cross and Blue Shield,"HMO MISSOURI, INC.",Anthem Inc.,Not enough data available,82%,Not enough data available,Not enough data available,83%,No data available,Not enough data available,No data available,1:10,No data available,89%,0.77%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,0.77%,1:10,No data available,No data available,100%,121,No data available,No data available,0:09,84,No data available,0.0%,No data available,No data available,97%,No Data Available,No data available,No data available,No data available,No data available,No data available
H9915,"MedStar Family Choice, Inc","MEDSTAR FAMILY CHOICE, INC.","Medstar Health, Inc.",Not enough data available,81%,Not enough data available,Not enough data available,89%,No data available,Not enough data available,No data available,0:05,No data available,83%,0.72%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,100%,33.33%,0.72%,0:05,No data available,No data available,100%,100,No data available,No data available,0:10,99,No data available,0.0%,No data available,No data available,95%,CMS Found Issues with Plan's Data,No data available,No data available,No data available,No data available,No data available
H9947,Blue Cross Blue Shield of Georgia,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.",Anthem Inc.,54%,94%,68%,83%,93%,83%,35%,Not enough data available,0:38,65%,98%,0.75%,69%,79%,27%,3%,63%,47%,40%,80%,Not enough data available,58%,34%,67%,100.00%,0.75%,0:38,6.5%,0.52%,100%,101,20.33%,Not enough data available,0:10,97,No data available,0.0%,37%,14%,99%,0.44,13%,10%,54%,19%,16%
H9954,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Inc.,Not enough data available,82%,Not enough data available,Not enough data available,81%,No data available,Not enough data available,No data available,0:44,No data available,82%,0.75%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,0.75%,0:44,No data available,No data available,100%,97,No data available,No data available,0:10,96,No data available,No data available,No data available,No data available,100%,No Data Available,No data available,No data available,No data available,No data available,No data available
R3175,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",45%,91%,54%,Not enough data available,91%,66%,32%,Not enough data available,0:20,55%,95%,0.61%,77%,82%,33%,5%,64%,53%,46%,83%,Not enough data available,51%,28%,100%,No data available,0.61%,0:20,4.5%,1.27%,100%,99,10.00%,Not enough data available,0:03,99,No data available,0.0%,48%,26%,No data available,1.44,No data available,No data available,No data available,No data available,No data available
R3332,Florida Blue,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Guidewell Mutual Holding Corporation,50%,66%,59%,87%,93%,87%,42%,92%,0:17,71%,94%,2.35%,74%,73%,29%,2%,64%,49%,44%,81%,Not enough data available,46%,43%,91%,100.00%,2.35%,0:17,4.3%,0.27%,100%,98,24.39%,Not enough data available,0:02,98,0.0%,0.0%,39%,18%,91%,CMS Found Issues with Plan's Data,11%,15%,53%,15%,9%
R3444,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",48%,91%,49%,87%,90%,60%,24%,Not enough data available,0:06,63%,96%,0.93%,69%,78%,36%,3%,51%,41%,33%,81%,Not enough data available,43%,25%,100%,No data available,0.93%,0:06,7.6%,1.21%,100%,98,23.61%,Not enough data available,0:04,98,0.0%,0.0%,34%,24%,98%,3.06,15%,21%,28%,13%,10%
R5287,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",52%,85%,51%,91%,92%,81%,36%,Not enough data available,0:48,65%,95%,2.87%,72%,78%,41%,2%,64%,48%,39%,79%,Not enough data available,43%,37%,100%,100.00%,2.87%,0:48,5.4%,1.27%,100%,99,27.36%,Not enough data available,0:04,98,0.0%,0.0%,48%,15%,96%,7.25,21%,32%,28%,13%,14%
R5342,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,"UnitedHealth Group, Inc.",65%,85%,56%,90%,91%,77%,36%,Not enough data available,0:45,68%,94%,2.15%,77%,79%,44%,6%,53%,41%,37%,82%,Not enough data available,50%,32%,100%,No data available,2.15%,0:45,5.1%,0.98%,100%,98,18.24%,Not enough data available,0:04,98,0.0%,0.0%,45%,15%,96%,5.06,16%,27%,21%,7%,13%
R5826,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,49%,93%,56%,91%,92%,71%,29%,Not enough data available,0:31,68%,94%,0.32%,71%,76%,32%,2%,60%,48%,42%,82%,Not enough data available,57%,34%,98%,100.00%,0.32%,0:31,5.4%,0.73%,100%,99,19.72%,Not enough data available,0:03,98,No data available,No data available,44%,23%,96%,CMS Found Issues with Plan's Data,14%,18%,32%,11%,11%
R5941,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Inc.,52%,81%,53%,90%,90%,72%,29%,Not enough data available,0:39,67%,94%,1.59%,71%,73%,30%,3%,49%,40%,40%,86%,Not enough data available,60%,37%,93%,100.00%,1.59%,0:39,6.3%,0.32%,100%,100,18.56%,Not enough data available,0:09,96,0.0%,0.0%,32%,19%,97%,0.63,14%,14%,43%,8%,8%
R6694,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
R6801,Care Improvement Plus,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,"UnitedHealth Group, Inc.",52%,91%,45%,83%,93%,66%,29%,Not enough data available,0:09,66%,97%,1.65%,64%,74%,34%,2%,58%,47%,39%,78%,Not enough data available,59%,29%,100%,100.00%,1.65%,0:09,6.6%,1.17%,100%,98,24.56%,Not enough data available,0:04,98,0.0%,0.0%,34%,27%,98%,3.64,24%,24%,25%,18%,20%
R7444,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",58%,85%,57%,91%,90%,79%,35%,91%,0:45,68%,96%,3.80%,82%,81%,40%,6%,58%,46%,38%,85%,Not enough data available,45%,25%,100%,No data available,3.80%,0:45,4.3%,1.07%,100%,99,27.61%,Not enough data available,0:04,97,0.0%,0.0%,47%,14%,96%,4.30,19%,36%,36%,9%,11%
R9896,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",46%,91%,44%,88%,93%,58%,31%,91%,0:04,59%,97%,0.94%,67%,76%,32%,2%,54%,53%,46%,83%,Not enough data available,54%,29%,94%,100.00%,0.94%,0:04,6.9%,0.94%,100%,98,18.01%,Not enough data available,0:04,98,0.0%,0.0%,46%,32%,98%,2.96,22%,15%,31%,13%,17%
S0064,Express Scripts,MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT OF NY,Express Scripts Holding Company,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,77.78%,1.01%,0:20,8.0%,0.24%,No data available,No data available,23.24%,Not enough data available,0:18,No data available,0.0%,33.3%,29%,23%,99%,0.06,No data available,No data available,39%,16%,9%
S0522,Symphonix Health,"SYMPHONIX HEALTH INSURANCE, INC.",Granite Creek FlexCap LLP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,85%,90.91%,0.28%,0:13,8.2%,0.65%,100%,98,18.19%,Not enough data available,0:16,98,0.0%,26.7%,31%,21%,97%,0.09,No data available,No data available,27%,16%,8%
S0586,MVP Health Care,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,8.4%,1.83%,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available
