2021 Summary Star View: Medicare Report Card Master Table,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,SNP,2018 Disaster %,2019 Disaster %,2021 Part C Summary,2021 Part D Summary,2021 Overall
H5774 ,Local CCP ,"TRIPLE S ADVANTAGE, INC. ",Triple S Advantage ,Triple-S Management Corporation ,Yes ,0,35,4,4.5,4
H5779 ,Local CCP ,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC. ",WellCare ,Centene Corporation ,No ,0,0,3,3.5,3.5
H5793 ,Local CCP ,AETNA HEALTH INC. (CT) ,Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,4,4,4
H5810 ,Local CCP ,MOLINA HEALTHCARE OF CALIFORNIA ,Molina Healthcare of California ,"Molina Healthcare, Inc., ",Yes ,8,0,3.5,3.5,3.5
H5823 ,Local CCP ,"MOLINA HEALTHCARE OF WASHINGTON, INC. ","Molina Healthcare of Washington, Inc. ","Molina Healthcare, Inc., ",Yes ,0,0,3,3.5,3.5
H5826 ,Local CCP ,COMMUNITY HEALTH PLAN OF WASHINGTON ,Community Health Plan of WA Medicare Advantage ,Community Health Plan of Washington ,Yes ,0,0,3,3.5,3
H5828 ,Local CCP ,"AMERIGROUP TENNESSEE, INC. ",AMERIGROUP Community Care ,Anthem Inc. ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5841 ,Local CCP ,BRIGHT HEALTH INSURANCE COMPANY ,Bright Health ,"Bright Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5843 ,Local CCP ,"BANNER HEALTH PLAN, INC. ",Banner Medicare Advantage Prime ,Banner Health ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5852 ,Local CCP ,AIDS HEALTHCARE FOUNDATION ,AHF ,AIDS Healthcare Foundation ,Yes ,100,0,4,3.5,3.5
H5854 ,Local CCP ,"ANTHEM HEALTH PLANS, INC. ",Anthem Blue Cross and Blue Shield ,Anthem Inc. ,Yes ,0,0,4,4,4
H5859 ,Local CCP ,"HEALTH PLAN OF CAREOREGON, INC. ",CareOregon Advantage ,"CareOregon, Inc. ",Yes ,0,0,3.5,3.5,3.5
H5883 ,Local CCP ,BLUE CARE NETWORK OF MICHIGAN ,Blue Care Network ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,No ,0,0,4,4.5,4
H5926 ,Local CCP ,"MOLINA HEALTHCARE OF MICHIGAN, INC. ",Molina Healthcare of Michigan ,"Molina Healthcare, Inc., ",Yes ,0,0,3,4,3.5
H5928 ,Local CCP ,BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN ,Blue Shield of California ,California Physicians' Service ,Yes ,44,0,3.5,3,3.5
H5932 ,Local CCP ,"GATEWAY HEALTH PLAN, INC. ",Gateway Health Medicare Assured ,"Gateway Health, LLC. ",Yes ,0,0,3.5,4.5,4
H5937 ,Local CCP ,UCARE MINNESOTA ,UCare ,UCare Minnesota ,Yes ,0,0,4.5,4,4.5
H5938 ,Local CCP ,CAPITAL HEALTH PLAN ,Capital Health Plan ,Guidewell Mutual Holding Corporation ,No ,96,0,5,3.5,4.5
H5943 ,Local CCP ,SCAN HEALTH PLAN ,VillageHealth ,SCAN Health Plan ,Yes ,38,0,3,4.5,3.5
H5945 ,Local CCP ,PROMINENCE HEALTHFIRST ,Prominence Health Plan ,"Universal Health Services, Inc. ",No ,0,0,3,3,3
H5959 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF MINNESOTA ,Blue Cross Blue Shield of Minnesota ,"Aware Integrated, Inc. ",No ,0,0,4,5,4.5
H5965 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF WASHINGTON ,WellCare ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5969 ,Local CCP ,ALOHACARE ,AlohaCare ,AlohaCare ,Yes ,0,0,3,3,3
H5970 ,Local CCP ,HUMANA INSURANCE COMPANY OF NEW YORK ,Humana ,Humana Inc. ,Yes ,0,0,4,3.5,4
H5989 ,Local CCP ,"HEALTHFIRST HEALTH PLAN, INC. ",Healthfirst Medicare Plan ,"Healthfirst, Inc. ",No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H5991 ,Local CCP ,HEALTH INSURANCE PLAN OF GREATER NEW YORK ,EmblemHealth Medicare HMO ,"EmblemHealth, Inc. ",Yes ,0,0,3,3,3
H5992 ,Local CCP ,"SENIOR WHOLE HEALTH OF NEW YORK, INC. ",Senior Whole Health of New York ,"Magellan Health, Inc. ",Yes ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H5995 ,Local CCP ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,ATRIO Health Plans ,Yes ,0,0,3.5,3.5,3.5
H6067 ,Local CCP ,"CAREFIRST ADVANTAGE, INC. ",CareFirst BlueCross BlueShield Medicare Advantage ,"CareFirst, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6078 ,Local CCP ,REGION 6 RX CORP ,Region 6 Rx Corp PPO ,Anthem Inc. ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6080 ,Demo ,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC. ",MeridianComplete ,Centene Corporation ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H6121 ,Local CCP ,BRIGHT HEALTH INSURANCE COMPANY OF ILLINOIS ,Bright Health ,"Bright Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6154 ,Local CCP ,MEDICA HEALTH PLANS ,Medica ,Medica Holding Company ,Yes ,0,0,4,4,4
H6158 ,Local CCP ,"USABLE HMO, INC. ",Arkansas Blue Medicare ,USAble Mutual Insurance Company ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6202 ,Local CCP ,NEXTBLUE OF NORTH DAKOTA INSURANCE COMPANY ,NextBlue of North Dakota ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6229 ,Demo ,"BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN, INC. ",Anthem Blue Cross Cal MediConnect ,Anthem Inc. ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H6237 ,Local CCP ,REGENCE BLUECROSS BLUESHIELD OF OREGON ,Regence BlueCross BlueShield of Oregon ,"Cambia Health Solutions, Inc. ",No ,0,0,4,4.5,4.5
H6306 ,Local CCP ,FIRSTCAROLINACARE INSURANCE COMPANY ,FirstMedicare Direct ,The Carle Foundation ,No ,76,0,4.5,3.5,4
H6316 ,Local CCP ,"MISSOURI CARE, INCORPORATED ",WellCare ,Anthem Inc. ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6328 ,Local CCP ,"CARE N' CARE INSURANCE COMPANY, INC. ",Care N' Care Insurance Company ,Texas Health Resources ,No ,0,0,4,3.5,3.5
H6345 ,Local CCP ,"PRUITTHEALTH PREMIER NORTH CAROLINA, LLC ",PruittHealth Premier ,"UNICO Premier, LLC ",Yes ,0,0,Plan too new to be measured ,4.5,Plan too new to be measured
H6348 ,Local CCP ,COORDINATED CARE CORPORATION ,Allwell ,Centene Corporation ,No ,0,0,Plan too new to be measured ,3,Plan too new to be measured
H6351 ,Local CCP ,"LIBERTY ADVANTAGE, LLC ",Liberty Advantage ,Liberty Healthcare Insurance ,Yes ,66,0,Plan too new to be measured ,4.5,Plan too new to be measured
H6379 ,Local CCP ,"CLEAR SPRING HEALTH (CO), INC. ",Clear Spring Health ,Group 1001 ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6396 ,Local CCP ,CARESOURCE ,CareSource ,CareSource Management Group Co. ,Yes ,0,0,3,3.5,3.5
H6399 ,Local CCP ,"AETNA BETTER HEALTH, INC. (NJ) ",Aetna Better Health of New Jersey ,CVS Health Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6439 ,Local CCP ,"WELLCARE HEALTH PLANS OF ARIZONA, INC. ",WellCare ,Centene Corporation ,No ,0,0,Plan too new to be measured ,4,Plan too new to be measured
H6446 ,Local CCP ,"SILVERSUMMIT HEALTHPLAN, INC. ",Allwell ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6453 ,Local CCP ,"HMO LOUISIANA, INC. ",Blue Cross and Blue Shield of Louisiana HMO ,Louisiana Health Service & Indemnity Company ,No ,0,0,3.5,3.5,3.5
H6502 ,Local CCP ,MISSOURI VALLEY LIFE AND HEALTH INSURANCE COMPANY ,Blue Medicare Advantage ,Blue Cross and Blue Shield of Kansas City ,No ,0,0,4,3.5,4
H6526 ,Local CCP ,"UNITEDHEALTHCARE OF NEW MEXICO, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,3,3,3
H6528 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,3.5,3,3.5
H6529 ,Local CCP ,"SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC. ",MyTruAdvantage ,"SIHO Holding, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6550 ,Local CCP ,"SUNFLOWER STATE HEALTH PLAN, INC. ",Allwell ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,3,Plan too new to be measured
H6594 ,Local CCP ,"WELLCARE HEALTH PLANS OF VERMONT, INC. ",WellCare ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6595 ,Local CCP ,"UNITEDHEALTHCARE OF KENTUCKY, LTD. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,Plan too new to be measured ,3,Plan too new to be measured
H6622 ,Local CCP ,HUMANA WI HEALTH ORGANIZATION INSURANCE CORP ,Humana ,Humana Inc. ,Yes ,0,0,4,4.5,4
H6652 ,Local CCP ,"AMERICAN HEALTH PLAN OF FL, INC. ",American Health Advantage of Florida ,"American Health Companies, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6672 ,Local CCP ,"EON HEALTH, INC. (GA) ",Clear Spring Health ,Group 1001 ,Yes ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H6706 ,Local CCP ,"UNITEDHEALTHCARE OF COLORADO, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6713 ,Local CCP ,"WELLCARE OF ILLINOIS, INC. ",WellCare ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6723 ,Local CCP ,MEDICAL MUTUAL OF OHIO ,Medical Mutual of Ohio ,MEDICAL MUTUAL OF OHIO ,No ,0,0,4,4.5,4
H6743 ,Local CCP ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,ATRIO Health Plans ,No ,0,0,3,3,3
H6750 ,Local CCP ,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC. ","Harvard Pilgrim Health Care of New England, Inc. ","Harvard Pilgrim Health Care, Inc. ",No ,0,0,4,4,4
H6776 ,Local CCP ,"ELDERSERVE HEALTH, INC. ",RiverSpring Health Plans ,Riverspring Health Holding Corp. ,Yes ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H6815 ,Local CCP ,HEALTH NET HEALTH PLAN OF OREGON ,"Health Net Health Plan of Oregon, Inc. ",Centene Corporation ,No ,0,0,3,4,3.5
H6830 ,Local CCP ,CENTENE VENTURE COMPANY KANSAS ,Ascension Complete ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6832 ,Local CCP ,"ALIGN SENIOR CARE MI, LLC ",Align Senior Care ,"Innovative Long Term Care Management, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6870 ,Demo ,"SUPERIOR HEALTH PLAN, INC. ",Superior HealthPlan ,Centene Corporation ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H6874 ,Local CCP ,"ASPIRUS ARISE HEALTH PLAN OF WISCONSIN, INC. ",Aspirus Health Plan ,"Aspirus, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6891 ,Local CCP ,"AMERICAN HEALTH PLAN OF TX, INC. ",American Health Advantage of Texas ,"American Health Companies, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6898 ,Local CCP ,"VERMONT BLUE ADVANTAGE, INC. ",Vermont Blue Advantage ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6910 ,Local CCP ,"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC. ",MediGold ,Trinity Health ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6936 ,Local CCP ,"BLUE CROSS & BLUE SHIELD OF ARIZONA, INC. ",Blue Cross Blue Shield of Arizona ,Blue Cross Blue Shield of Arizona ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6959 ,Local CCP ,"ISNP VENTURES, LLC ",KeyCare Advantage ,"ISNP Holdings, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6975 ,Local CCP ,"WELLCARE OF ALABAMA, INC. ",WellCare ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6988 ,Local CCP ,"CENTERS PLAN FOR HEALTHY LIVING, LLC ",Centers Plan for Healthy Living ,"Centers Plan for Healthy Living, LLC ",Yes ,0,0,3,3.5,3.5
H7006 ,Local CCP ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,ATRIO Health Plans ,No ,0,0,4,3.5,4
H7020 ,Local CCP ,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC. ",Cigna ,CIGNA ,No ,0,0,4,3.5,4
H7063 ,Local CCP ,"BLUECROSS BLUESHIELD KANSAS SOLUTIONS, INC. ",Blue Cross and Blue Shield of Kansas ,Blue Cross Blue Shield of Kansas ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7076 ,Local CCP ,"CARESOURCE INDIANA, INC. ",CareSource ,CareSource Management Group Co. ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7115 ,Local CCP ,MEMORIAL HERMANN HEALTH PLAN ,Memorial Hermann Health Plan ,Memorial Hermann Health System ,No ,0,0,4,3,3.5
H7119 ,Local CCP ,PROVIDER PARTNERS HEALTH PLAN OF OHIO ,Provider Partners Health Plans ,"Rifkin Managed Care Holding Company, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7123 ,Local CCP ,"UPMC HEALTH COVERAGE, INC. ",UPMC for Life Dual ,UPMC Health System ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7149 ,Local CCP ,AETNA HEALTH INC. (PA) ,Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,4,4,4
H7163 ,Local CCP ,"VANTAGE HEALTH PLAN OF MISSISSIPPI, INC. ",Vantage Health Plan ,Louisiana Health Service & Indemnity Company ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7165 ,Local CCP ,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA ,Blue Cross Blue Shield of South Carolina ,BlueCross BlueShield of South Carolina (BCBSSC) ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7172 ,Demo ,AETNA BETTER HEALTH INC. (OH) ,"Aetna Better Health of Ohio, MyCare Ohio ",CVS Health Corporation ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H7173 ,Local CCP ,"PEACH STATE HEALTH PLAN, INC. ",Allwell ,Centene Corporation ,Yes ,0,0,3,3.5,3
H7175 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC. ",WellCare ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7220 ,Local CCP ,"INDIANA UNIVERSITY HEALTH PLANS NFP, INC. ",Indiana University Health Plans - Medicare ,Indiana University Health ,No ,0,0,4,4.5,4.5
H7245 ,Local CCP ,PREMERA BLUE CROSS ,Premera Blue Cross Medicare Advantage ,Premera ,No ,0,0,3.5,3.5,3.5
H7273 ,Local CCP ,BANNER HEALTH INSURANCE GROUP ,Banner Medicare Advantage Plus ,Banner Health ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7284 ,Local CCP ,"HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC. ",Humana ,Humana Inc. ,Yes ,0,0,Plan too new to be measured ,4,Plan too new to be measured
H7301 ,Local CCP ,"COVENTRY HEALTH CARE OF ILLINOIS, INC. ",Aetna Medicare ,CVS Health Corporation ,No ,0,0,4.5,4,4.5
H7322 ,Local CCP ,"OSCAR HEALTH PLAN OF NEW YORK, INC. ",Oscar ,"Mulberry Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7323 ,Local CCP ,WELLCARE NATIONAL HEALTH INSURANCE COMPANY ,WellCare ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7326 ,Local CCP ,"WELLCARE OF SOUTH CAROLINA, INC. ",WellCare ,Centene Corporation ,No ,0,0,3,3.5,3
H7330 ,Local CCP ,"ZING HEALTH, INC. ",Zing Health ,"ZING HEALTH HOLDINGS OF MICHIGAN, INC. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7399 ,Local CCP ,CENTENE VENTURE COMPANY ILLINOIS ,Ascension Complete ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7404 ,Local CCP ,PACIFICARE LIFE ASSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,Plan too new to be measured ,4.5,Plan too new to be measured
H7409 ,Local CCP ,"BRIGHT HEALTH COMPANY OF SOUTH CAROLINA, INC. ",Bright Health ,"Bright Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7419 ,Demo ,"TUFTS HEALTH PUBLIC PLANS, INC. ",Tufts Health Plan ,"Tufts Health Plan, Inc ",No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H7445 ,Local CCP ,"UNITEDHEALTHCARE OF ILLINOIS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7464 ,Local CCP ,"UNITEDHEALTHCARE OF THE MID-ATLANTIC, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4,4,4
H7511 ,Local CCP ,"GOOD SAMARITAN INSURANCE PLAN OF NEBRASKA, INC. ",Great Plains Medicare Advantage ,Sanford Health ,Yes ,0,0,Plan too new to be measured ,5,Plan too new to be measured
H7518 ,Local CCP ,"WELLCARE OF MISSOURI HEALTH INSURANCE COMPANY, INC ",WellCare ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7522 ,Local CCP ,"MMM HEALTHCARE, LLC ",Medicare y Mucho Más ,"Summit Master Company, LLC ",No ,0,40,3,5,3.5
H7557 ,Local CCP ,"LONGEVITY HEALTH PLAN OF MICHIGAN, INC. ",Longevity Health Plan ,"Longevity Health Founders, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7559 ,Local CCP ,"MAGELLAN COMPLETE CARE OF VIRGINIA, INC. ",Magellan Complete Care ,"Magellan Health, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7594 ,Local CCP ,BRANDMAN HEALTH PLAN ,Brandman Health Plan ,Los Angeles Jewish Home for the Aging ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7598 ,Local CCP ,GROUP HEALTH COOPERATIVE OF EAU CLAIRE ,Group Health Cooperative of Eau Claire ,Group Health Cooperative of Eau Claire ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7607 ,Local CCP ,"CLEVER CARE OF GOLDEN STATE, INC. ",Clever Care Health Plan ,"Clever Care Health Plan, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7617 ,Local CCP ,EMPHESYS INSURANCE COMPANY ,Humana ,Humana Inc. ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7621 ,Local CCP ,"HUMANA HEALTH PLAN OF CALIFORNIA, INC. ",Humana ,Humana Inc. ,No ,0,0,Plan too new to be measured ,4,Plan too new to be measured
H7646 ,Local CCP ,PHP MEDICARE ,PHP Medicare ,Sparrow Health System ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7678 ,Local CCP ,"MOLINA HEALTHCARE OF TEXAS, INC. ","Molina Healthcare of Texas, Inc. ","Molina Healthcare, Inc., ",Yes ,0,0,3,4,3.5
H7680 ,Local CCP ,PROMINENCE HEALTHFIRST OF TEXAS ,Prominence Health Plan ,"Universal Health Services, Inc. ",No ,0,0,2.5,2.5,2.5
H7728 ,Local CCP ,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC. ",Anthem Blue Cross and Blue Shield ,Anthem Inc. ,No ,1,0,4,3.5,3.5
H7779 ,Local CCP ,"AMERICAN HEALTH PLAN, INC. ",American Health Advantage of Tennessee ,"American Health Companies, Inc. ",Yes ,0,0,Plan too new to be measured ,3,Plan too new to be measured
H7787 ,Local CCP ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",Cigna ,CIGNA ,No ,0,0,3.5,3.5,3.5
H7802 ,Local CCP ,"SPARTAN PLAN VA, INC. ",Sunrise Advantage Plan ,Public Sector Pension Investment Board ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7833 ,Demo ,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H7844 ,Demo ,"MOLINA HEALTHCARE OF MICHIGAN, INC. ",Molina Healthcare of Michigan ,"Molina Healthcare, Inc., ",No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H7849 ,Local CCP ,CIGNA HEALTH AND LIFE INSURANCE COMPANY ,Cigna ,CIGNA ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7853 ,Local CCP ,BRIGHT HEALTH INSURANCE COMPANY ,Bright Health ,"Bright Health, Inc. ",No ,0,0,Plan too new to be measured ,3,Plan too new to be measured
H7885 ,Demo ,SAN MATEO HEALTH COMMISSION ,Health Plan of San Mateo ,Health Plan of San Mateo ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H7890 ,Demo ,SANTA CLARA COUNTY HEALTH AUTHORITY ,Santa Clara Family Health Plan CalMediConnect Plan ,SANTA CLARA COUNTY HEALTH AUTHORITY ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H7917 ,Local CCP ,"BLUECROSS BLUESHIELD OF TENNESSEE, INC. ",BlueCross BlueShield of Tennessee ,BlueCross BlueShield of Tennessee ,No ,0,0,4,4,4
H7925 ,Local CCP ,"CENTENE VENTURE COMPANY INDIANA, INC. ",Ascension Complete ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7971 ,Local CCP ,HORIZON INSURANCE COMPANY ,Horizon Blue Cross Blue Shield of New Jersey ,"Horizon Healthcare Services, Inc. ",No ,2,0,3.5,Not enough data available ,Not enough data available
H7993 ,Local CCP ,"DEVOTED HEALTH PLAN OF TEXAS, INC. ",Devoted Health ,"Devoted Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8003 ,Local CCP ,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA ,Blue Cross Blue Shield of South Carolina ,BlueCross BlueShield of South Carolina (BCBSSC) ,No ,25,0,3.5,3.5,3.5
H8010 ,Local CCP ,"CLOVER HMO OF NEW JERSEY, INC. ",Clover Health ,"Clover Health Holdings, Inc. ",No ,0,0,Plan too new to be measured ,3.5,Plan too new to be measured
H8016 ,Demo ,ORANGE COUNTY HEALTH AUTHORITY ,OneCare Connect ,Orange County Health Authority ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H8019 ,Local CCP ,SSM HEALTH PLAN ,WellFirst Health ,SSM Healthcare Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8026 ,Demo ,AETNA BETTER HEALTH OF MICHIGAN INC. ,Aetna Better Health Premier Plan ,CVS Health Corporation ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H8046 ,Demo ,"MOLINA HEALTHCARE OF ILLINOIS, INC. ",Molina Healthcare of Illinois ,"Molina Healthcare, Inc., ",No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H8064 ,Local CCP ,FIRSTCAROLINACARE INSURANCE COMPANY ,FirstMedicare Direct ,The Carle Foundation ,No ,91,0,4.5,4,4
H8067 ,Local CCP ,"PROVIDER PARTNERS HEALTH PLAN, INC. ",Provider Partners Health Plans ,"Rifkin Managed Care Holding Company, LLC ",Yes ,0,0,Not enough data available ,3,Not enough data available
H8087 ,Local CCP ,HUMANADENTAL INSURANCE COMPANY ,Humana ,Humana Inc. ,Yes ,0,0,Plan too new to be measured ,4.5,Plan too new to be measured
H8093 ,Local CCP ,"GEORGIA ASSURANCE, INC. ",Georgia Health Advantage ,"American Health Companies, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8125 ,Local CCP ,"SYMPHONIX HEALTH INSURANCE, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8130 ,Local CCP ,"MOLINA HEALTHCARE OF FLORIDA, INC. ",Molina Healthcare of Florida ,"Molina Healthcare, Inc., ",Yes ,0,0,3,3.5,3.5
H8133 ,Local CCP ,GHS INSURANCE COMPANY ,Blue Cross and Blue Shield of Texas ,Health Care Service Corporation ,No ,0,0,3,3.5,3
H8142 ,Local CCP ,SCOTT AND WHITE HEALTH PLAN ,Scott and White Health Plan ,Baylor Scott & White Holdings ,No ,0,0,5,4,4.5
H8145 ,PFFS ,HUMANA INSURANCE COMPANY ,Humana ,Humana Inc. ,No ,0,0,3.5,4,3.5
H8173 ,Local CCP ,"DEVOTED HEALTH PLAN OF ARIZONA, INC. ",Devoted Health ,"Devoted Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8176 ,Local CCP ,"MOLINA HEALTHCARE OF SOUTH CAROLINA,INC ",Molina Healthcare of South Carolina and Ohio ,"Molina Healthcare, Inc., ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
