2020 Domain Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,HD4: Member Complaints and Changes in the Health Plan's Performance,HD5: Health Plan Customer Service,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD3: Member Experience with the Drug Plan,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8432,Local CCP,"Empire Healthchoice Hmo, Inc.",Empire BlueCross BlueShield,Anthem Inc.,4,3,2,3,4,5,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8452,Demo,Caresource,CareSource MyCare Ohio,CareSource Management Group Co.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8457,Local CCP,"Longevity Health Plan Of New York, Inc.",Longevity Health Plan,"Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8492,Local CCP,Dignity Care Corporation,Dignity Health Plan,CommCare Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8552,Local CCP,Anthem Blue Cross Life And Health Ins Company,Anthem Blue Cross Life and Health Insurance Co.,Anthem Inc.,4,3,2,5,5,5,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8554,Local CCP,Ghs Insurance Company,Blue Cross and Blue Shield of Texas,Health Care Service Corporation,3,3,Not enough data available,3,3,5,2,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8578,Local CCP,"Health New England, Inc.",Health New England Medicare Advantage Plans,"Baystate Health, Inc.",4,3,4,4,4,5,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8597,Local CCP,Aetna Better Health Of Texas Inc.,Aetna Medicare,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8604,Local CCP,Thp Insurance Company,The Health Plan,"The Health Plan of West Virginia, Inc.",3,3,4,4,Not enough data available,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8634,Local CCP,Health Care Service Corporation,"Blue Cross and Blue Shield of IL, NM",Health Care Service Corporation,3,3,3,4,2,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8649,Local CCP,"Aetna Health Of Utah, Inc",Aetna Medicare,CVS Health Corporation,3,3,3,4,Not enough data available,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8677,Demo,Molina Healthcare Of California,Molina Healthcare of California,"Molina Healthcare, Inc.,",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8748,Local CCP,Unitedhealthcare Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,3,5,5,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8764,Local CCP,Aspire Health Plan,Aspire Health Plan,Montage Health,4,3,2,4,4,5,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8768,Local CCP,Unitedhealthcare Insurance Co Of The River Valley,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,4,Not enough data available,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8783,Local CCP,"Ucare Health, Inc.",UCare,UCare Minnesota,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8786,Demo,"Amerigroup Texas, Inc.",Amerigroup STAR+PLUS MMP,Anthem Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8845,Local CCP,"Magellan Complete Care Of Arizona, Inc",Magellan Complete Care,"Magellan Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8854,Local CCP,"University Of Maryland Health Advantage, Inc.",Maryland Health Advantage,University of Maryland Medical System Corporation,4,3,3,5,4,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8889,Local CCP,Medica Health Plans,Medica,Medica Holding Company,3,3,4,4,4,5,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8908,Local CCP,"Humana Medical Plan Of Michigan, Inc.",Humana,Humana Inc.,3,3,2,3,4,5,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8916,Local CCP,"Best Care Partners, Inc.",Clarion Health,Lee Memorial Health Systems,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8967,Local CCP,"Good Samaritan Insurance Plan Of North Dakota, Llc",Great Plains Medicare Advantage,Sanford Health,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9001,Local CCP,Fallon Community Health Plan,Fallon Health,Fallon Community Health Plan,3,4,3,4,4,5,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9003,Local CCP,Kaiser Foundation Hp Of The N W,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",4,4,4,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9047,Local CCP,Providence Health Assurance,Providence Medicare Advantage Plans,Providence Health & Services,5,5,4,4,4,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9065,Local CCP,"Amh Health, Llc",AMH Health,Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9066,Local CCP,Visiting Nurse Association Of Central New York,Nascentia Health Plus,VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9070,Local CCP,Compbenefits Insurance Company,Humana,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9082,Local CCP,"Molina Healthcare Of New Mexico, Inc.","Molina Healthcare of New Mexico, Inc.","Molina Healthcare, Inc.,",2,3,2,3,4,5,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9095,Local CCP,"Longevity Health Plan Of Oklahoma, Inc",Longevity Health Plan,"Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9096,Local CCP,"Dean Health Plan, Inc.","Dean Advantage, Prevea360 Medicare Advantage",SSM Healthcare Corporation,5,4,5,4,4,4,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9104,Local CCP,Scan Health Plan,SCAN Health Plan,SCAN Health Plan,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9153,Local CCP,"West Virginia Senior Advantage, Inc.",West Virginia Senior Advantage,"Stonerise Senior Advantage Holdings, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9207,Local CCP,"Health Partners Plans, Inc.",Health Partners Medicare,"Health Partners Plans, Inc.",4,4,3,4,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9276,Local CCP,"Sunshine Health Community Solutions, Inc.",Allwell,Centene Corporation,Not enough data available,2,3,3,Not enough data available,3,3,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9287,Local CCP,"Health Net Community Solutions Of Arizona, Inc.",Allwell,Centene Corporation,3,3,2,3,Not enough data available,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9302,Local CCP,Premera Blue Cross,Premera Blue Cross Medicare Advantage,Premera,3,4,3,3,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9364,Local CCP,"Wellcare Of Maine, Inc.",WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9403,Local CCP,"Eon Health, Inc. (sc)",Clear Spring Health,Delaware Life Insurance Company,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9408,Local CCP,"Vibra Health Plan, Inc.",Vibra Health Plan,Capital BlueCross,3,2,5,3,Not enough data available,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9412,Local CCP,"Geisinger Quality Options, Inc.",Geisinger Gold,Geisinger Health,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9428,Local CCP,"Wellcare Health Insurance Of Tennessee, Inc.",WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9431,Local CCP,First Health Life & Health Insurance Company,Aetna Medicare,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9455,Local CCP,"Health Choice Utah, Inc.",Steward Health Choice Utah,"Steward Health Care System, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9460,Local CCP,"Cigna Healthcare Of St Louis, Inc.",Cigna,CIGNA,3,3,3,3,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9487,Demo,"Michigan Complete Health, Inc.",Michigan Complete Health,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9516,Local CCP,Bright Health Insurance Company Of New York,Bright Health,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9525,Local CCP,Compcare Health Services Insurance Corporation,Anthem Blue Cross and Blue Shield,Anthem Inc.,4,3,4,4,4,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9572,Local CCP,Bcbs Of Michigan Mutual Insurance Company,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan Mutual Ins. Co.,4,4,3,5,4,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9576,Demo,Neighborhood Health Plan Of Rhode Island,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9585,Local CCP,"Boston Medical Center Health Plan, Inc.",BMC HealthNet Plan Senior Care Options,"BMC Health System, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9589,Local CCP,"Eon Health, Inc. (ga)",Clear Spring Health,Delaware Life Insurance Company,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9590,Local CCP,"Longevity Health Plan Of Illinois, Inc.",Longevity Health,"Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9615,Local CCP,"Mvp Health Plan, Inc.",MVP HEALTH CARE,"MVP Health Care, Inc.",4,3,4,4,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9630,Local CCP,"Arkansas Health And Wellness Health Plan, Inc",Allwell,Centene Corporation,Not enough data available,2,4,4,5,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9699,Local CCP,"Hmo Partners, Inc.",Health Advantage,USAble Mutual Insurance Company,3,3,2,3,Not enough data available,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9706,Local CCP,Hcsc Insurance Services Company,Blue Cross and Blue Shield of Texas,Health Care Service Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9712,Demo,"Hap Midwest Health Plan, Inc.",HAP Empowered MI Health Link,Henry Ford Health System,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9725,Local CCP,"Cigna Healthcare Of North Carolina, Inc.",Cigna,CIGNA,4,4,4,4,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9730,Local CCP,"Wellcare Health Insurance Company Of Kentucky, Inc",WellCare,"WellCare Health Plans, Inc.",3,3,3,3,5,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9808,Local CCP,Care N' Care Insurance Company Of North Carolina,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,Moses H. Cone Memorial Hospital Corp.,4,3,4,4,4,3,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9811,Local CCP,"Magnolia Health Plan, Inc.",Allwell,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9826,Local CCP,"Community Health Choice Texas, Inc.",Community Health Choice,Harris County Hospital District,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9834,Local CCP,Quartz Health Plan Mn Corporation,Senior Preferred,University of Wisconsin Hospitals and Clincs Autho,4,Not enough data available,5,4,Not enough data available,Not enough data available,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9861,Local CCP,"Reliance Hmo, Inc.",Reliance Medicare Advantage,"RELIANCE HMO, INC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9869,Demo,"Partners Health Plan, Inc.",Partners Health Plan,"PHSI, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9870,Local CCP,"University Health Care, Inc.",Passport Advantage,"University Health Care, Inc.",2,2,4,4,3,5,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9877,Local CCP,"Virginia Premier Health Plan, Inc.",Virginia Premier,Virginia Cwlth University Hlth System Authority,3,2,3,4,Not enough data available,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9878,Local CCP,"Bright Health Insurance Company Of Ohio, Inc.",Bright Health,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9909,Local CCP,"American Health Plan Of Ms, Inc.",American Health Advantage of MS,"American Health Companies, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9942,Local CCP,Longevity Health Plan Of New Jersey Insurance Comp,Longevity Health Plan,"Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9952,Local CCP,Medica Health Plans,Medica,Medica Holding Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0110,Regional CCP,Humana Insurance Company,Humana,Humana Inc.,3,3,3,4,5,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0759,Regional CCP,Unitedhealthcare Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,4,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0802,Regional CCP,"Martin's Point Generations Advantage, Inc.",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0865,Regional CCP,Humana Insurance Company,Humana,Humana Inc.,3,3,4,4,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0923,Regional CCP,Humana Insurance Company,Humana,Humana Inc.,3,3,4,4,5,5,5,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1390,Regional CCP,Humana Insurance Company,Humana,Humana Inc.,3,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1532,Regional CCP,Humana Insurance Company,Humana,Humana Inc.,3,3,2,4,Not enough data available,5,4,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1548,Regional CCP,Unitedhealthcare Insurance Co Of The River Valley,UnitedHealthcare,"UnitedHealth Group, Inc.",Not enough data available,4,4,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2604,Regional CCP,Unitedhealthcare Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,4,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3175,Regional CCP,Unitedhealthcare Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,3,4,Not enough data available,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3332,Regional CCP,"Blue Cross And Blue Shield Of Florida, Inc.",Florida Blue,Guidewell Mutual Holding Corporation,4,3,3,4,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3392,Regional CCP,Humana Insurance Company,Humana,Humana Inc.,3,3,3,4,4,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3444,Regional CCP,Care Improvement Plus South Central Insurance Co.,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,3,4,5,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3887,Regional CCP,Humana Insurance Company,Humana,Humana Inc.,3,3,3,4,4,5,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4182,Regional CCP,Humana Insurance Company,Humana,Humana Inc.,3,3,3,4,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4487,Regional CCP,"Anthem Insurance Companies, Inc.",Anthem Blue Cross and Blue Shield,Anthem Inc.,3,3,3,5,5,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4845,Regional CCP,Humana Insurance Company,Humana,Humana Inc.,3,2,3,4,Not enough data available,5,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5329,Regional CCP,"Sierra Health And Life Insurance Company, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,4,Not enough data available,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5342,Regional CCP,Unitedhealthcare Insurance Company Of New York,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,3,5,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5361,Regional CCP,Humana Insurance Company,Humana,Humana Inc.,3,3,3,4,5,5,5,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5495,Regional CCP,Humana Insurance Company,Humana,Humana Inc.,3,3,3,3,4,5,4,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5826,Regional CCP,Humana Insurance Company,Humana,Humana Inc.,3,3,3,3,4,5,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5941,Regional CCP,"Anthem Insurance Companies, Inc.",Anthem Blue Cross and Blue Shield,Anthem Inc.,3,3,4,5,5,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6694,Regional CCP,Aetna Life Insurance Company,Aetna Medicare,CVS Health Corporation,4,4,4,3,5,5,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6801,Regional CCP,Care Improvement Plus Of Texas Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,4,4,5,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7220,Regional CCP,Humana Insurance Company,Humana,Humana Inc.,3,3,2,5,5,5,5,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7315,Regional CCP,Humana Insurance Company,Humana,Humana Inc.,3,3,4,4,5,5,4,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7444,Regional CCP,Unitedhealthcare Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,4,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0586,PDP,"Mvp Health Plan, Inc.",MVP Health Care,"MVP Health Care, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0655,PDP,Tufts Insurance Company,Tufts Health Plan,"Tufts Health Plan, Inc",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1030,PDP,Bcbs Of Alabama & Utic Insurance Company,BlueRx (PDP),BlueCross BlueShield of Alabama,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
