2020 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Plan Makes Timely Decisions about Appeals - DMC16,Controlling High Blood Pressure - DMC17,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC18,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC19,Transitions of Care - Notification of Inpatient Admission - DMC20,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC21,Transitions of Care - Receipt of Discharge Information - DMC22,Transitions of Care - Average - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Reminders to Fill Prescriptions - DMD11,Reminders to Take Medications - DMD12,High Risk Medication - DMD13,Antipsychotic Use in Persons with Dementia - DMD14,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD15,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD16,Use of Opioids at High Dosage and from Multiple Providers - DMD17,MPF Price Accuracy - DMD18,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H8258,L.A. Care Cal MediConnect Plan,Local Initiative Health Authority For L.a. County,Local Initiative Health Authority for LA County,49%,57%,Not enough data available,43%,20%,Not enough data available,00:29,60%,83%,2.33%,76%,83%,42%,5%,52,95%,73%,44%,34%,7%,77%,1%,30%,No data available,100.00%,2.33%,00:29,2%,0.46%,100%,101,00:04,-2,63%,59%,10%,5%,5%,3%,0.00,100,10.15,Not Available,Not Available,Not Available,Not Available,Not Available,100
H8266,Constellation Health,"Constellation Health, Llc.","Constellation Health, LLC.",Not enough data available,37%,Not enough data available,86%,Not enough data available,Not enough data available,02:22,38%,93%,14.52%,Not enough data available,Not enough data available,9%,1%,No data available,Not enough data available,69%,41%,15%,1%,65%,1%,21%,No data available,No data available,14.52%,02:22,2%,0.35%,92%,101,01:37,94,38%,24%,7%,13%,13%,No data available,0.00,96,No Data Available,17%,38%,10%,8%,7%,80
H8280,Bright Health,"Bright Health Insurance Company Of Alabama, Inc.","Bright Health, Inc.",Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:34,No data available,94%,1.57%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,1.57%,00:34,No data available,No data available,100%,No data available,00:21,96,No data available,No data available,13%,No data available,No data available,No data available,No data available,97,CMS identified issues with this plan's data,Not Available,Not Available,Not Available,Not Available,Not Available,100
H8293,Clear Spring Health,"Clear Spring Health (va), Inc.",Delaware Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8298,Horizon Blue Cross Blue Shield of New Jersey,"Horizon Healthcare Of New Jersey, Inc.","Horizon Healthcare Services, Inc.",Not enough data available,56%,Not enough data available,59%,Not enough data available,91,00:20,50%,95%,0.79%,77%,91%,Not enough data available,Not enough data available,69,Not enough data available,47%,55%,11%,CMS Found Issues with Plan's Data,72%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,88%,100.00%,3.13%,00:15,3%,0.56%,100%,100,00:06,95,58%,53%,9%,6%,4%,No data available,0.00,94,CMS identified issues with this plan's data,31%,55%,12%,19%,19%,100
H8364,Bright Health,"Bright Health Insurance Company Of Alabama, Inc.","Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8379,Priority Health Medicare,"Priority Health Choice, Inc.",Spectrum Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8423,Cigna-HealthSpring CarePlan,"Healthspring Life & Health Insurance Company, Inc.",CIGNA,Not enough data available,49%,Not enough data available,66%,31%,Not enough data available,00:03,55%,91%,3.10%,Not enough data available,Not enough data available,19%,2%,27,Not enough data available,80%,61%,48%,8%,73%,1%,33%,100%,No data available,3.10%,00:03,1%,0.12%,100%,98,00:04,91,57%,61%,7%,10%,9%,12%,0.00,85,1.37,Not Available,Not Available,Not Available,Not Available,Not Available,100
H8432,Empire BlueCross BlueShield,"Empire Healthchoice Hmo, Inc.",Anthem Inc.,52%,54%,87%,77%,51%,92,01:13,65%,95%,1.10%,74%,85%,47%,8%,53,95%,55%,57%,35%,5%,80%,6%,31%,100%,100.00%,1.10%,01:13,2%,0.26%,100%,100,00:04,87,54%,30%,6%,11%,11%,10%,0.17,83,1.68,18%,29%,27%,13%,12%,60
H8452,CareSource MyCare Ohio,Caresource,CareSource Management Group Co.,64%,52%,94%,58%,28%,Not enough data available,00:16,66%,95%,0.00%,72%,85%,44%,10%,65,56%,50%,56%,26%,1%,71%,1%,25%,100%,No data available,0.00%,00:16,6%,0.21%,100%,102,00:21,87,59%,50%,14%,10%,8%,10%,0.53,89,32.32,Not Available,Not Available,Not Available,Not Available,Not Available,80
H8457,Longevity Health Plan,"Longevity Health Plan Of New York, Inc.","Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:23,Plan too new to be measured,Plan too new to be measured,0.78%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.78%,00:23,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:05,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8490,VNSNY CHOICE FIDA Complete,Vns Choice,Visiting Nurse Service of New York,Not enough data available,71%,Not enough data available,60%,27%,Not enough data available,01:31,69%,99%,24.00%,71%,85%,Not enough data available,Not enough data available,40,Not enough data available,54%,48%,23%,0%,75%,1%,25%,No data available,No data available,24.00%,01:31,4%,0.00%,100%,100,00:09,94,73%,71%,8%,12%,13%,5%,0.00,97,2.36,Not Available,Not Available,Not Available,Not Available,Not Available,80
H8492,Dignity Health Plan,Dignity Care Corporation,CommCare Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8506,"Moda Health Plan, Inc.","Moda Health Plan, Inc.","Moda Partners, Inc.",Not enough data available,Not enough data available,Not enough data available,60%,Not enough data available,No data available,00:13,No data available,94%,0.62%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,79,Not enough data available,52%,47%,44%,33%,93%,13%,46%,No data available,100.00%,2.48%,00:15,4%,0.00%,100%,100,00:05,92,No data available,No data available,6%,15%,No data available,No data available,0.00,98,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H8552,Anthem Blue Cross Life and Health Insurance Co.,Anthem Blue Cross Life And Health Ins Company,Anthem Inc.,Not enough data available,63%,Not enough data available,84%,36%,92,00:24,82%,97%,0.78%,58%,85%,33%,4%,31,96%,47%,59%,32%,6%,80%,1%,30%,100%,No data available,0.78%,00:24,3%,0.36%,100%,100,00:04,86,52%,23%,9%,10%,10%,No data available,2.42,85,1.60,30%,18%,45%,14%,13%,60
H8554,Blue Cross and Blue Shield of Texas,Ghs Insurance Company,Health Care Service Corporation,Not enough data available,45%,Not enough data available,67%,Not enough data available,No data available,00:28,No data available,92%,3.75%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,30,67%,65%,56%,49%,CMS Found Issues with Plan's Data,88%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,No data available,No data available,3.75%,00:28,3%,0.27%,100%,100,00:07,91,No data available,No data available,4%,10%,9%,No data available,0.00,94,7.65,33%,43%,15%,Not Available,11%,100
H8578,Health New England Medicare Advantage Plans,"Health New England, Inc.","Baystate Health, Inc.",Not enough data available,Not enough data available,Not enough data available,88%,39%,92,00:20,84%,98%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,47,100%,59%,63%,56%,0%,82%,0%,35%,100%,100.00%,0.78%,00:19,2%,0.68%,100%,100,00:23,92,45%,18%,9%,10%,8%,18%,0.00,96,0.58,22%,21%,34%,11%,10%,80
H8597,Aetna Medicare,Aetna Better Health Of Texas Inc.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:45,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,00:45,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:07,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8604,The Health Plan,Thp Insurance Company,"The Health Plan of West Virginia, Inc.",Not enough data available,71%,Not enough data available,75%,27%,92,00:18,73%,98%,0.00%,71%,81%,24%,0%,54,Not enough data available,64%,56%,50%,1%,85%,1%,34%,No data available,No data available,0.00%,00:18,4%,0.26%,100%,99,00:04,91,49%,29%,10%,8%,8%,No data available,0.00,94,1.84,8%,21%,30%,6%,3%,60
H8634,"Blue Cross and Blue Shield of IL, NM",Health Care Service Corporation,Health Care Service Corporation,55%,63%,93%,77%,37%,93,00:28,76%,96%,3.75%,76%,85%,30%,3%,49,50%,48%,60%,32%,CMS Found Issues with Plan's Data,77%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,94%,100.00%,3.75%,00:28,3%,0.30%,100%,100,00:07,93,58%,26%,5%,8%,7%,11%,0.00,94,7.76,23%,14%,43%,9%,13%,100
H8649,Aetna Medicare,"Aetna Health Of Utah, Inc",CVS Health Corporation,Not enough data available,51%,Not enough data available,74%,30%,91,00:34,72%,95%,0.00%,79%,79%,24%,8%,40,Not enough data available,68%,54%,81%,7%,77%,5%,42%,No data available,No data available,0.00%,00:34,3%,0.65%,100%,100,00:26,95,40%,26%,7%,9%,7%,No data available,1.16,97,2.27,14%,22%,19%,12%,9%,100
H8677,Molina Healthcare of California,Molina Healthcare Of California,"Molina Healthcare, Inc.,",48%,44%,Not enough data available,51%,20%,90,00:10,57%,82%,0.00%,68%,84%,41%,5%,39,98%,70%,44%,35%,5%,78%,2%,30%,60%,No data available,0.00%,00:10,2%,0.11%,100%,101,00:21,93,56%,52%,7%,5%,6%,4%,0.67,94,11.28,Not Available,Not Available,Not Available,Not Available,Not Available,100
H8748,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",37%,63%,Not enough data available,75%,46%,91,00:22,74%,96%,3.30%,68%,73%,43%,4%,28,100%,72%,54%,48%,18%,79%,5%,37%,100%,No data available,3.30%,00:22,3%,0.00%,96%,100,00:26,92,56%,31%,12%,9%,8%,No data available,0.48,95,6.57,18%,30%,27%,13%,14%,100
H8764,Aspire Health Plan,Aspire Health Plan,Montage Health,Not enough data available,72%,Not enough data available,82%,Not enough data available,90,00:15,78%,97%,0.00%,63%,88%,25%,9%,40,98%,65%,64%,77%,42%,92%,0%,53%,100%,No data available,0.00%,00:12,2%,0.32%,100%,100,00:23,78,43%,24%,8%,15%,15%,No data available,0.00,96,19.33,Not Available,Not Available,Not Available,Not Available,Not Available,100
H8768,UnitedHealthcare,Unitedhealthcare Insurance Co Of The River Valley,"UnitedHealth Group, Inc.",69%,58%,Not enough data available,No data available,Not enough data available,93,00:20,75%,96%,3.50%,84%,81%,39%,5%,41,Not enough data available,77%,57%,52%,12%,83%,3%,38%,100%,No data available,3.50%,00:20,4%,0.28%,96%,100,00:26,93,51%,26%,11%,9%,8%,No data available,0.00,95,4.18,9%,12%,17%,Not Available,7%,100
H8783,UCare,"Ucare Health, Inc.",UCare Minnesota,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:22,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,00:22,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:04,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8786,Amerigroup STAR+PLUS MMP,"Amerigroup Texas, Inc.",Anthem Inc.,53%,51%,Not enough data available,60%,27%,Not enough data available,00:26,57%,86%,0.63%,71%,85%,34%,5%,58,94%,67%,51%,21%,3%,69%,3%,24%,No data available,100.00%,0.63%,00:26,3%,0.29%,100%,100,00:04,69,66%,62%,7%,6%,7%,6%,0.00,79,1.48,Not Available,Not Available,Not Available,Not Available,Not Available,60
H8845,Magellan Complete Care,"Magellan Complete Care Of Arizona, Inc","Magellan Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8851,SWH Whole Health FIDA Plan,"Senior Whole Health Of New York, Inc.","Magellan Health, Inc.",Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:10,No data available,97%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,37%,38%,0%,85%,0%,31%,No data available,No data available,0.00%,00:10,1%,0.00%,100%,100,00:04,94,No data available,No data available,8%,17%,18%,No data available,No data available,70,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,60
H8854,Maryland Health Advantage,"University Of Maryland Health Advantage, Inc.",University of Maryland Medical System Corporation,11%,55%,Not enough data available,63%,25%,Not enough data available,00:18,63%,96%,2.34%,67%,82%,34%,5%,78,99%,68%,50%,73%,37%,81%,39%,57%,No data available,No data available,1.57%,00:23,3%,0.18%,100%,102,00:21,90,70%,56%,8%,8%,7%,10%,2.83,83,CMS identified issues with this plan's data,27%,43%,24%,Not Available,17%,100
H8889,Medica,Medica Health Plans,Medica Holding Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:15,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,00:15,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:21,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8908,Humana,"Humana Medical Plan Of Michigan, Inc.",Humana Inc.,44%,54%,71%,69%,37%,Not enough data available,00:17,71%,95%,1.62%,75%,77%,52%,7%,46,100%,76%,56%,30%,2%,84%,1%,29%,100%,No data available,1.62%,00:17,2%,0.60%,100%,100,00:10,93,71%,40%,8%,10%,7%,No data available,0.00,96,1.89,42%,44%,26%,11%,20%,100
H8916,Clarion Health,"Best Care Partners, Inc.",Lee Memorial Health Systems,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8967,Great Plains Medicare Advantage,"Good Samaritan Insurance Plan Of North Dakota, Llc",Sanford Health,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:15,No data available,100%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,00:15,11%,No data available,100%,No data available,00:05,31,No data available,No data available,12%,15%,No data available,15%,0.00,100,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9001,Fallon Health,Fallon Community Health Plan,Fallon Community Health Plan,65%,56%,94%,83%,31%,91,00:08,75%,98%,0.78%,76%,82%,35%,4%,61,99%,72%,62%,46%,1%,86%,1%,33%,100%,100.00%,0.78%,00:08,3%,1.02%,100%,98,00:18,96,52%,34%,12%,11%,8%,13%,0.51,79,2.52,16%,31%,29%,9%,11%,100
H9003,Kaiser Permanente,Kaiser Foundation Hp Of The N W,"Kaiser Foundation Health Plan, Inc.",81%,72%,95%,82%,61%,92,00:57,86%,94%,0.78%,83%,93%,39%,7%,37,99%,73%,66%,81%,96%,86%,85%,87%,No data available,No data available,0.78%,00:57,1%,0.27%,100%,101,00:04,48,45%,19%,7%,14%,14%,17%,0.09,100,3.77,22%,23%,28%,4%,15%,100
H9047,Providence Medicare Advantage Plans,Providence Health Assurance,Providence Health & Services,70%,64%,88%,88%,37%,91,00:03,85%,97%,0.78%,77%,87%,50%,29%,31,98%,73%,61%,85%,75%,96%,53%,77%,100%,No data available,0.78%,00:03,3%,0.91%,100%,100,00:08,84,30%,18%,9%,13%,13%,16%,0.68,80,3.61,15%,25%,32%,10%,8%,60
H9065,AMH Health,"Amh Health, Llc",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9066,Nascentia Health Plus,Visiting Nurse Association Of Central New York,VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:08,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.55%,00:09,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:01,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
