2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Alcohol or other Drug Treatment - DMC12,Engagement of Alcohol or other Drug Treatment - DMC13,Hospitalization for Potentially Preventable Complications - DMC14,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Transitions of Care - Average - DMC20,Plan All-Cause Readmissions (18+) - DMC21,Plan All-Cause Readmissions (18-64) - DMC22,Plan All-Cause Readmissions (65+) - DMC23,Physical Functioning Activities of Daily Living - DMC24,Care of Older Adults - Functional Status - DMC25,Kidney Health Evaluation for Patients With Diabetes - DMC26,Improving or Maintaining Physical Health - DMC27,Improving or Maintaining Mental Health - DMC28,Cardiac Rehabiliation - Acheivement - DMC29,Cardiac Rehabiliation - Engagement 1 - DMC30,Cardiac Rehabiliation - Engagement 2 - DMC31,Cardiac Rehabilation - Initiation - DMC32,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
R5329,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",Not enough data available,71%,Not enough data available,29%,No data available,0:29,82%,95%,0.00%,Not enough data available,Not enough data available,25%,3%,13%,60%,60%,8%,89%,12%,42%,10%,Not enough data available,9%,95%,Plan not required to report measure,33%,71%,74%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.00%,0:29,100,0:36,56,44%,16%,8%,No data available,20.04%,12.79%,0.00%,9.43%,9.86%,14.19%,4.18,Not Available,Not Available,Not Available,Not Available,Not Available,100
R5342,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",67%,66%,93%,34%,93,0:22,76%,96%,4.44%,78%,81%,44%,7%,13%,61%,65%,13%,88%,8%,44%,11%,12%,11%,96%,Plan not required to report measure,42%,67%,83%,3%,6%,6%,1%,4.44%,0:22,100,0:36,57,52%,19%,9%,11%,15.60%,9.84%,0.25%,7.28%,9.00%,12.61%,6.66,13%,21%,29%,Not Available,11%,100
R5361,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,25%,69%,Not enough data available,17%,92,0:19,67%,93%,1.63%,67%,88%,49%,7%,16%,69%,84%,45%,91%,30%,62%,13%,12%,13%,93%,Plan not required to report measure,41%,62%,85%,2%,8%,7%,7%,1.63%,0:19,101,0:47,86,47%,35%,9%,7%,18.14%,6.17%,0.00%,9.80%,13.61%,22.54%,1.81,12%,11%,26%,Not Available,12%,100
R5495,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,71%,Not enough data available,27%,92,0:14,74%,94%,0.82%,81%,81%,56%,4%,19%,70%,81%,9%,91%,7%,47%,14%,Not enough data available,14%,99%,Plan not required to report measure,39%,69%,87%,2%,7%,2%,7%,0.82%,0:14,100,0:47,85,59%,30%,9%,5%,15.15%,6.59%,0.00%,8.89%,15.25%,20.54%,0.89,9%,7%,28%,4%,8%,100
R5826,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,40%,65%,Not enough data available,28%,No data available,0:19,67%,93%,1.50%,69%,77%,32%,2%,14%,57%,80%,7%,87%,2%,44%,14%,15%,13%,100%,Plan not required to report measure,46%,74%,88%,0%,0%,1%,1%,1.50%,0:19,100,0:47,85,52%,28%,7%,1%,19.94%,10.99%,0.08%,7.41%,11.93%,20.67%,1.89,7%,14%,32%,7%,8%,100
R5941,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.","Elevance Health, Inc.",48%,68%,Not enough data available,25%,94,0:42,74%,94%,1.77%,73%,69%,33%,4%,21%,57%,82%,0%,82%,0%,41%,13%,14%,13%,94%,Plan not required to report measure,35%,71%,83%,1%,5%,2%,5%,2.97%,0:20,100,0:28,92,44%,21%,7%,11%,16.49%,6.65%,0.11%,8.41%,9.95%,17.70%,2.38,10%,7%,43%,9%,8%,100
R6694,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,CVS Health Corporation,Not enough data available,71%,Not enough data available,31%,92,0:18,77%,97%,0.00%,Not enough data available,Not enough data available,25%,10%,19%,62%,94%,3%,85%,3%,46%,11%,Not enough data available,10%,92%,Plan not required to report measure,43%,59%,77%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.00%,0:18,100,0:45,96,59%,26%,7%,No data available,16.79%,10.54%,0.51%,6.41%,8.54%,19.29%,2.28,Not Available,Not Available,Not Available,Not Available,Not Available,100
R6801,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",42%,61%,85%,26%,No data available,0:31,68%,96%,3.40%,69%,79%,35%,3%,18%,54%,46%,3%,80%,1%,33%,11%,11%,11%,88%,66%,35%,63%,86%,4%,7%,6%,6%,3.40%,0:31,100,0:36,57,57%,37%,7%,6%,17.39%,4.37%,0.13%,10.19%,14.67%,24.40%,6.03,15%,14%,29%,9%,8%,100
R7220,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,63%,72%,Not enough data available,22%,No data available,0:19,61%,92%,1.59%,75%,81%,26%,3%,13%,70%,85%,15%,85%,9%,49%,12%,Not enough data available,12%,94%,Plan not required to report measure,40%,66%,83%,0%,3%,1%,1%,1.59%,0:19,100,0:47,85,55%,25%,4%,No data available,5.72%,11.98%,1.20%,6.84%,11.43%,18.97%,1.5,13%,8%,30%,Not Available,11%,100
R7315,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,69%,Not enough data available,24%,No data available,0:19,69%,93%,1.50%,76%,93%,41%,5%,16%,58%,83%,5%,86%,3%,44%,12%,8%,12%,92%,Plan not required to report measure,33%,63%,74%,4%,6%,6%,4%,1.50%,0:19,100,0:47,85,55%,24%,7%,4%,17.63%,5.71%,0.27%,9.18%,14.74%,21.66%,1.1,9%,7%,23%,Not Available,6%,100
R7444,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",75%,73%,92%,31%,No data available,0:29,76%,96%,0.00%,83%,84%,37%,9%,16%,58%,61%,13%,91%,13%,44%,10%,12%,10%,95%,Plan not required to report measure,45%,67%,76%,5%,10%,12%,5%,0.00%,0:29,100,0:36,56,51%,22%,10%,10%,17.60%,11.39%,0.30%,6.50%,9.00%,11.07%,3.93,8%,9%,33%,7%,8%,100
S0156,NextBlue of North Dakota,NEXTBLUE OF NORTH DAKOTA INSURANCE COMPANY,Blue Cross Blue Shield of Michigan Mutual Ins. Co.,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S0586,MVP Health Care,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,No data available,No data available,7%,No data available,No data available,No data available,No data available,1.57%,8.99%,11.11%,Plan too small to be measured,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S0655,Tufts Health Plan,TUFTS INSURANCE COMPANY,"Point32Health, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,54%,19%,11%,14%,13.87%,4.08%,0.00%,5.77%,7.48%,10.10%,1.53,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S1030,BlueRx (PDP),BCBS OF ALABAMA & UTIC INSURANCE COMPANY,BlueCross BlueShield of Alabama,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.94%,0:14,100,0:18,65,49%,21%,9%,12%,16.74%,4.46%,0.18%,5.99%,15.02%,13.27%,1.43,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S1140,Highmark BCBS of WNY and Highmark BS of NENY,Highmark Western and Northeastern New York Inc.,Highmark Health,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,44%,23%,8%,No data available,16.93%,3.52%,0.00%,8.07%,11.12%,16.14%,0.61,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S1822,HealthPartners,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,49%,20%,9%,No data available,4.34%,3.07%,0.00%,8.34%,8.02%,6.75%,4.77,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S2465,Optima Medicare,OPTIMA HEALTH PLAN,Sentara Health Care (SHC),Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,CMS Found Issues with Plan's Data,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S2468,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,1.19%,0:22,104,0:39,90,52%,27%,11%,6%,21.34%,7.20%,0.16%,5.35%,14.13%,15.76%,0.59,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,80
S2668,Farm Bureau Health Plans,MEMBERS HEALTH INSURANCE COMPANY,Tennessee Rural Health Improvement Association,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.00%,0:26,98,1:00,57,48%,32%,12%,No data available,19.72%,8.08%,0.19%,9.79%,16.67%,13.39%,6.93,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,60
S2874,Humana,"HUMANA INSURANCE OF PUERTO RICO, INC.",Humana Inc.,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.00%,0:30,100,0:47,91,55%,32%,5%,No data available,22.98%,4.03%,2.69%,5.00%,11.61%,15.59%,0.47,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S2893,Blue MedicareRx,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,"Elevance Health, Inc. & BCBSMA & BCBSRI & BCBSVT",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4.35%,0:17,99,1:01,94,58%,20%,9%,9%,18.43%,6.05%,0.23%,5.97%,8.77%,12.52%,7.47,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S3147,Banner Medicare Rx,BANNER HEALTH INSURANCE GROUP,Banner Health,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,3.09%,1:23,No data available,0:48,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S3285,MG Insurance Company,MG INSURANCE COMPANY,"MedImpact Holdings, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,54%,20%,10%,9%,16.18%,4.28%,0.20%,7.02%,13.32%,7.41%,0.58,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S3375,"BlueCross BlueShield: Empire, Excellus, WNY & NENY","EMPIRE HEALTHCHOICE ASSURANCE, INC.","Elevance Health, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,2.11%,0:12,100,0:28,92,50%,21%,10%,No data available,24.15%,8.24%,0.39%,9.21%,14.57%,16.85%,7.1,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S3389,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC.",UPMC Health System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,45%,19%,12%,No data available,12.22%,0.00%,0.00%,1.27%,8.19%,12.93%,CMS Found Issues with Plan's Data,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S3521,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,48%,19%,12%,14%,9.96%,3.51%,0.00%,8.99%,9.33%,6.01%,0.64,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S3875,Granite Alliance,GRANITE ALLIANCE INSURANCE COMPANY,Centene Corporation,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,No data available,No data available,8%,No data available,13.97%,4.67%,0.18%,7.38%,13.85%,18.69%,2.11,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S3994,HMSAs Medicare Rx Plan,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),Hawaii Medical Service Association,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No Data Available,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,100
S4219,Health Alliance Medicare Prescription Plan,HEALTH ALLIANCE MEDICAL PLANS,The Carle Foundation,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,51%,Not enough data available,9%,No data available,17.70%,2.98%,0.00%,5.49%,11.73%,14.88%,Plan too small to be measured,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,60
