2020 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H8457,Longevity Health Plan,"Longevity Health Plan Of New York, Inc.","Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8492,Dignity Health Plan,Dignity Care Corporation,CommCare Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8552,Anthem Blue Cross Life and Health Insurance Co.,Anthem Blue Cross Life And Health Ins Company,Anthem Inc.,30%,18%,45%,14%,13%
H8554,Blue Cross and Blue Shield of Texas,Ghs Insurance Company,Health Care Service Corporation,33%,43%,15%,Not Available,11%
H8578,Health New England Medicare Advantage Plans,"Health New England, Inc.","Baystate Health, Inc.",22%,21%,34%,11%,10%
H8597,Aetna Medicare,Aetna Better Health Of Texas Inc.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8604,The Health Plan,Thp Insurance Company,"The Health Plan of West Virginia, Inc.",8%,21%,30%,6%,3%
H8634,"Blue Cross and Blue Shield of IL, NM",Health Care Service Corporation,Health Care Service Corporation,23%,14%,43%,9%,13%
H8649,Aetna Medicare,"Aetna Health Of Utah, Inc",CVS Health Corporation,14%,22%,19%,12%,9%
H8677,Molina Healthcare of California,Molina Healthcare Of California,"Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H8748,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",18%,30%,27%,13%,14%
H8764,Aspire Health Plan,Aspire Health Plan,Montage Health,Not Available,Not Available,Not Available,Not Available,Not Available
H8768,UnitedHealthcare,Unitedhealthcare Insurance Co Of The River Valley,"UnitedHealth Group, Inc.",9%,12%,17%,Not Available,7%
H8783,UCare,"Ucare Health, Inc.",UCare Minnesota,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8786,Amerigroup STAR+PLUS MMP,"Amerigroup Texas, Inc.",Anthem Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H8845,Magellan Complete Care,"Magellan Complete Care Of Arizona, Inc","Magellan Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8854,Maryland Health Advantage,"University Of Maryland Health Advantage, Inc.",University of Maryland Medical System Corporation,27%,43%,24%,Not Available,17%
H8889,Medica,Medica Health Plans,Medica Holding Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8908,Humana,"Humana Medical Plan Of Michigan, Inc.",Humana Inc.,42%,44%,26%,11%,20%
H8916,Clarion Health,"Best Care Partners, Inc.",Lee Memorial Health Systems,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8967,Great Plains Medicare Advantage,"Good Samaritan Insurance Plan Of North Dakota, Llc",Sanford Health,Not Available,Not Available,Not Available,Not Available,Not Available
H9001,Fallon Health,Fallon Community Health Plan,Fallon Community Health Plan,16%,31%,29%,9%,11%
H9003,Kaiser Permanente,Kaiser Foundation Hp Of The N W,"Kaiser Foundation Health Plan, Inc.",22%,23%,28%,4%,15%
H9047,Providence Medicare Advantage Plans,Providence Health Assurance,Providence Health & Services,15%,25%,32%,10%,8%
H9065,AMH Health,"Amh Health, Llc",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9066,Nascentia Health Plus,Visiting Nurse Association Of Central New York,VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9070,Humana,Compbenefits Insurance Company,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9082,"Molina Healthcare of New Mexico, Inc.","Molina Healthcare Of New Mexico, Inc.","Molina Healthcare, Inc.,",24%,26%,8%,6%,13%
H9095,Longevity Health Plan,"Longevity Health Plan Of Oklahoma, Inc","Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9096,"Dean Advantage, Prevea360 Medicare Advantage","Dean Health Plan, Inc.",SSM Healthcare Corporation,18%,28%,29%,6%,10%
H9104,SCAN Health Plan,Scan Health Plan,SCAN Health Plan,Not Available,Not Available,Not Available,Not Available,Not Available
H9153,West Virginia Senior Advantage,"West Virginia Senior Advantage, Inc.","Stonerise Senior Advantage Holdings, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H9207,Health Partners Medicare,"Health Partners Plans, Inc.","Health Partners Plans, Inc.",23%,28%,40%,Not Available,13%
H9276,Allwell,"Sunshine Health Community Solutions, Inc.",Centene Corporation,27%,36%,15%,Not Available,16%
H9287,Allwell,"Health Net Community Solutions Of Arizona, Inc.",Centene Corporation,31%,25%,16%,Not Available,22%
H9302,Premera Blue Cross Medicare Advantage,Premera Blue Cross,Premera,11%,33%,17%,10%,8%
H9364,WellCare,"Wellcare Of Maine, Inc.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9403,Clear Spring Health,"Eon Health, Inc. (sc)",Delaware Life Insurance Company,42%,33%,27%,Not Available,22%
H9408,Vibra Health Plan,"Vibra Health Plan, Inc.",Capital BlueCross,11%,12%,32%,10%,12%
H9412,Geisinger Gold,"Geisinger Quality Options, Inc.",Geisinger Health,Not Available,Not Available,Not Available,Not Available,Not Available
H9428,WellCare,"Wellcare Health Insurance Of Tennessee, Inc.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9431,Aetna Medicare,First Health Life & Health Insurance Company,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9455,Steward Health Choice Utah,"Health Choice Utah, Inc.","Steward Health Care System, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9460,Cigna,"Cigna Healthcare Of St Louis, Inc.",CIGNA,35%,42%,17%,12%,15%
H9487,Michigan Complete Health,"Michigan Complete Health, Inc.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H9516,Bright Health,Bright Health Insurance Company Of New York,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9525,Anthem Blue Cross and Blue Shield,Compcare Health Services Insurance Corporation,Anthem Inc.,20%,18%,22%,Not Available,18%
H9572,Blue Cross Blue Shield of Michigan,Bcbs Of Michigan Mutual Insurance Company,Blue Cross Blue Shield of Michigan Mutual Ins. Co.,14%,8%,42%,12%,7%
H9576,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,Neighborhood Health Plan Of Rhode Island,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,Not Available,Not Available,Not Available,Not Available,Not Available
H9585,BMC HealthNet Plan Senior Care Options,"Boston Medical Center Health Plan, Inc.","BMC Health System, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H9589,Clear Spring Health,"Eon Health, Inc. (ga)",Delaware Life Insurance Company,Not Available,Not Available,Not Available,Not Available,Not Available
H9590,Longevity Health,"Longevity Health Plan Of Illinois, Inc.","Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9615,MVP HEALTH CARE,"Mvp Health Plan, Inc.","MVP Health Care, Inc.",11%,15%,33%,10%,7%
H9630,Allwell,"Arkansas Health And Wellness Health Plan, Inc",Centene Corporation,30%,28%,13%,Not Available,18%
H9699,Health Advantage,"Hmo Partners, Inc.",USAble Mutual Insurance Company,23%,34%,20%,11%,11%
H9706,Blue Cross and Blue Shield of Texas,Hcsc Insurance Services Company,Health Care Service Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9712,HAP Empowered MI Health Link,"Hap Midwest Health Plan, Inc.",Henry Ford Health System,Not Available,Not Available,Not Available,Not Available,Not Available
H9725,Cigna,"Cigna Healthcare Of North Carolina, Inc.",CIGNA,17%,16%,17%,Not Available,11%
H9730,WellCare,"Wellcare Health Insurance Company Of Kentucky, Inc","WellCare Health Plans, Inc.",18%,35%,11%,Not Available,16%
H9808,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,Care N' Care Insurance Company Of North Carolina,Moses H. Cone Memorial Hospital Corp.,21%,25%,18%,12%,10%
H9811,Allwell,"Magnolia Health Plan, Inc.",Centene Corporation,30%,46%,16%,Not Available,22%
H9826,Community Health Choice,"Community Health Choice Texas, Inc.",Harris County Hospital District,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9834,Senior Preferred,Quartz Health Plan Mn Corporation,University of Wisconsin Hospitals and Clincs Autho,Not Available,Not Available,Not Available,Not Available,Not Available
H9861,Reliance Medicare Advantage,"Reliance Hmo, Inc.","RELIANCE HMO, INC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9869,Partners Health Plan,"Partners Health Plan, Inc.","PHSI, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H9870,Passport Advantage,"University Health Care, Inc.","University Health Care, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H9877,Virginia Premier,"Virginia Premier Health Plan, Inc.",Virginia Cwlth University Hlth System Authority,40%,44%,9%,Not Available,31%
H9878,Bright Health,"Bright Health Insurance Company Of Ohio, Inc.","Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9909,American Health Advantage of MS,"American Health Plan Of Ms, Inc.","American Health Companies, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9942,Longevity Health Plan,Longevity Health Plan Of New Jersey Insurance Comp,"Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9952,Medica,Medica Health Plans,Medica Holding Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
R0110,Humana,Humana Insurance Company,Humana Inc.,14%,23%,33%,3%,5%
R0759,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
R0802,Martin's Point Generations Advantage,"Martin's Point Generations Advantage, Inc.","Martin's Point Health Care, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
R0865,Humana,Humana Insurance Company,Humana Inc.,10%,5%,30%,Not Available,9%
R0923,Humana,Humana Insurance Company,Humana Inc.,19%,24%,32%,Not Available,10%
R1390,Humana,Humana Insurance Company,Humana Inc.,18%,20%,32%,Not Available,10%
R1532,Humana,Humana Insurance Company,Humana Inc.,21%,21%,30%,Not Available,Not Available
R1548,UnitedHealthcare,Unitedhealthcare Insurance Co Of The River Valley,"UnitedHealth Group, Inc.",21%,32%,14%,Not Available,Not Available
R2604,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
R3175,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
R3332,Florida Blue,"Blue Cross And Blue Shield Of Florida, Inc.",Guidewell Mutual Holding Corporation,16%,15%,37%,10%,6%
R3392,Humana,Humana Insurance Company,Humana Inc.,13%,13%,33%,Not Available,9%
R3444,UnitedHealthcare,Care Improvement Plus South Central Insurance Co.,"UnitedHealth Group, Inc.",9%,13%,30%,8%,10%
R3887,Humana,Humana Insurance Company,Humana Inc.,22%,16%,37%,Not Available,Not Available
R4182,Humana,Humana Insurance Company,Humana Inc.,24%,19%,40%,Not Available,Not Available
R4487,Anthem Blue Cross and Blue Shield,"Anthem Insurance Companies, Inc.",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
R4845,Humana,Humana Insurance Company,Humana Inc.,23%,26%,30%,Not Available,Not Available
R5329,UnitedHealthcare,"Sierra Health And Life Insurance Company, Inc.","UnitedHealth Group, Inc.",11%,14%,45%,9%,9%
R5342,UnitedHealthcare,Unitedhealthcare Insurance Company Of New York,"UnitedHealth Group, Inc.",17%,23%,31%,9%,9%
R5361,Humana,Humana Insurance Company,Humana Inc.,14%,11%,21%,Not Available,13%
R5495,Humana,Humana Insurance Company,Humana Inc.,15%,12%,35%,Not Available,9%
R5826,Humana,Humana Insurance Company,Humana Inc.,19%,23%,22%,7%,7%
R5941,Anthem Blue Cross and Blue Shield,"Anthem Insurance Companies, Inc.",Anthem Inc.,9%,37%,34%,10%,7%
R6694,Aetna Medicare,Aetna Life Insurance Company,CVS Health Corporation,12%,11%,50%,Not Available,7%
R6801,UnitedHealthcare,Care Improvement Plus Of Texas Insurance Company,"UnitedHealth Group, Inc.",11%,16%,29%,10%,12%
R7220,Humana,Humana Insurance Company,Humana Inc.,24%,28%,32%,Not Available,15%
R7315,Humana,Humana Insurance Company,Humana Inc.,14%,20%,34%,Not Available,10%
R7444,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",10%,24%,25%,7%,7%
S0586,MVP Health Care,"Mvp Health Plan, Inc.","MVP Health Care, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S0655,Tufts Health Plan,Tufts Insurance Company,"Tufts Health Plan, Inc",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S1030,BlueRx (PDP),Bcbs Of Alabama & Utic Insurance Company,BlueCross BlueShield of Alabama,Not Applicable,Not Applicable,38%,13%,5%
S1140,BlueCross BlueShield of WNY and BlueShield of NENY,Healthnow New York Inc.,HealthNow New York Inc.,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S1822,HealthPartners,"Healthpartners, Inc.","HealthPartners, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S1894,CommunityCare Prescription Drug Plan (PDP),"Communitycare Government Programs, Inc.",St Francis Health System & St John Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S2468,Blue Shield of California,California Physicians' Service,California Physicians' Service,Not Applicable,Not Applicable,38%,15%,7%
S2668,Farm Bureau Health Plans,Members Health Insurance Company,Tennessee Rural Health Improvement Association,Not Applicable,Not Applicable,43%,13%,9%
S2874,Humana,"Humana Insurance Of Puerto Rico, Inc.",Humana Inc.,Not Applicable,Not Applicable,30%,12%,11%
S2893,Blue MedicareRx,Anthem Insurance Co. & Bcbsma & Bcbsri & Bcbsvt,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT,Not Applicable,Not Applicable,36%,12%,8%
S3285,MG Insurance Company,Mg Insurance Company,"MedImpact Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S3389,UPMC Health Plan,"Upmc Health Benefits, Inc.",UPMC Health System,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S3521,"Excellus Health Plan, Inc","Excellus Health Plan, Inc.","Lifetime Healthcare, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S3875,Granite Alliance,Granite Alliance Insurance Company,"Magellan Health, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S3994,HMSAs Medicare Rx Plan,Hawaii Medical Service Association (hmsa),Hawaii Medical Service Association,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S4219,Health Alliance Medicare Prescription Plan,Health Alliance Medical Plans,The Carle Foundation,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S4501,Pharmacy Benefit Dimensions PDP,Independent Health Benefits Corporation,"Independent Health Association, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S4607,Magellan Rx Medicare,Merit Health Insurance Company,"Magellan Health, Inc.",Not Applicable,Not Applicable,34%,22%,11%
S4802,WellCare,"Wellcare Prescription Insurance, Inc.","WellCare Health Plans, Inc.",Not Applicable,Not Applicable,30%,12%,9%
S5450,BlueScripts,"Securitycare Of Tennessee, Inc.",BlueCross BlueShield of Tennessee,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S5540,Blue Cross and Blue Shield of North Carolina,Blue Cross And Blue Shield Of North Carolina,Blue Cross and Blue Shield of North Carolina,Not Applicable,Not Applicable,37%,10%,6%
S5552,Humana,Humana Insurance Company Of New York,Humana Inc.,Not Applicable,Not Applicable,32%,12%,11%
S5584,Blue Cross Blue Shield of Michigan,Bcbs Of Michigan Mutual Insurance Company,Blue Cross Blue Shield of Michigan Mutual Ins. Co.,Not Applicable,Not Applicable,40%,11%,8%
S5588,Paramount Prescription Drug Plan,Paramount Insurance Company,"Promedica Health System, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S5593,Highmark Inc.,Hm Health Insurance Company,Highmark Health,Not Applicable,Not Applicable,42%,10%,5%
S5596,MediBlue Rx (PDP),"Anthem Insurance Companies, Inc.",Anthem Inc.,Not Applicable,Not Applicable,48%,11%,6%
S5601,SilverScript,Silverscript Insurance Company,CVS Health Corporation,Not Applicable,Not Applicable,39%,10%,6%
S5609,Asuris Northwest Health,Asuris Northwest Health,"Cambia Health Solutions, Inc.",Not Applicable,Not Applicable,36%,18%,9%
S5617,Cigna,Cigna Health And Life Insurance Company,CIGNA,Not Applicable,Not Applicable,39%,12%,8%
S5660,Express Scripts Medicare,Medco Containment Life And Medco Containment Ny,CIGNA,Not Applicable,Not Applicable,37%,18%,10%
S5715,"Blue Cross and Blue Shield of IL, NM, OK, TX",Hcsc Insurance Services Company,Health Care Service Corporation,Not Applicable,Not Applicable,41%,13%,6%
S5726,Blue MedicareRx (PDP),Blue Cross And Blue Shield Of Kansas,Blue Cross Blue Shield of Kansas,Not Applicable,Not Applicable,42%,10%,5%
S5743,MedicareBlue Rx,"Wellmark  Ia & Sd, & Bcbs Mn, Mt, Ne, Nd,& Wy","BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",Not Applicable,Not Applicable,35%,11%,6%
S5753,WPS Health Insurance,Wisconsin Physicians Service Insurance Corporation,Wisconsin Physicians Service Ins Corporation.,Not Applicable,Not Applicable,37%,8%,4%
S5768,WellCare,"Wellcare Prescription Insurance, Inc.","WellCare Health Plans, Inc.",Not Applicable,Not Applicable,47%,14%,6%
S5795,ARKANSAS BLUE CROSS AND BLUE SHIELD,Usable Mutual Insurance Company,USAble Mutual Insurance Company,Not Applicable,Not Applicable,44%,10%,5%
S5805,UnitedHealthcare,Unitedhealthcare Insurance Company Of New York,"UnitedHealth Group, Inc.",Not Applicable,Not Applicable,42%,10%,7%
S5810,WellCare,"Wellcare Prescription Insurance, Inc.","WellCare Health Plans, Inc.",Not Applicable,Not Applicable,31%,14%,8%
S5820,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",Not Applicable,Not Applicable,52%,8%,5%
S5857,Priority Health Medicare,Priority Health Insurance Company,Spectrum Health System,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S5877,EMI Health,Educators Mutual Insurance Association,Educators Mutual Insurance Association,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S5884,Humana,Humana Insurance Company,Humana Inc.,Not Applicable,Not Applicable,39%,9%,7%
S5904,Florida Blue,"Blue Cross And Blue Shield Of Florida, Inc.",Guidewell Mutual Holding Corporation,Not Applicable,Not Applicable,39%,17%,10%
S5916,Regence BlueShield of Idaho and Regence BC BS Utah,Regence Blueshield Of Idaho And Regence Bc Bs Utah,"Cambia Health Solutions, Inc.",Not Applicable,Not Applicable,39%,21%,Not Available
S5921,UnitedHealthcare,Unitedhealthcare Ins. Co. & Uhc Ins. Co. Of Ny,"UnitedHealth Group, Inc.",Not Applicable,Not Applicable,38%,12%,6%
S5953,Blue Cross Blue Shield of South Carolina,Bluecross And Blueshield Of South Carolina,BlueCross BlueShield of South Carolina (BCBSSC),Not Applicable,Not Applicable,44%,16%,8%
S5960,Medicare Rx (PDP),Unicare Life & Health Insurance Company,Anthem Inc.,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S5966,EmblemHealth Medicare PDP,Group Health Incorporated,"EmblemHealth, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S5975,"Moda Health Plan, Inc.","Moda Health Plan, Inc.","Moda Partners, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S5983,Express Scripts Medicare,Medco Containment Insurance Company Of New York,CIGNA,Not Applicable,Not Applicable,22%,16%,11%
S5993,Horizon Blue Cross Blue Shield of New Jersey,Horizon Insurance Company,"Horizon Healthcare Services, Inc.",Not Applicable,Not Applicable,44%,17%,8%
S6506,Blue Cross Blue Shield of Arizona,"Blue Cross And Blue Shield Arizona, Inc.",Blue Cross Blue Shield of Arizona,Not Applicable,Not Applicable,33%,11%,8%
S6875,Select Option,Qcc Insurance Company,"Independence Health Group, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S6946,Clear Spring Health,Clear Spring Health Insurance Company,Delaware Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S6986,"MII Life Insurance, Incorporated","Mii Life Insurance, Incorporated","Aware Integrated, Inc.",Not Applicable,Not Applicable,36%,16%,11%
S7126,Mutual of Omaha Rx,Omaha Health Insurance Company,Mutual of Omaha Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S7694,EnvisionInsurance,Envision Insurance Company,Rite Aid Corporation,Not Applicable,Not Applicable,29%,15%,9%
S8067,Avalon Insurance Company,Avalon Insurance Company,Capital BlueCross,Not Applicable,Not Applicable,48%,13%,6%
S8182,Amerivantage Rx (PDP),Amerigroup Insurance Company,Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S8677,Providence Health Assurance,Providence Health Assurance,Providence Health & Services,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S8841,"Optum Insurance of Ohio, Inc.","Optum Insurance Of Ohio, Inc.","UnitedHealth Group, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S9701,Navitus MedicareRx,"Dean Health Insurance, Inc.",SSM Healthcare Corporation,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
