2022 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H6379 ,Clear Spring Health ,"CLEAR SPRING HEALTH (CO), INC. ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6396 ,CareSource ,"CARESOURCE OHIO, INC. ",CareSource ,21%,30%,30%,Not Available ,17%
H6399 ,Aetna Better Health of New Jersey ,AETNA BETTER HEALTH INC. (NJ) ,CVS Health Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6446 ,Wellcare by Allwell ,"SILVERSUMMIT HEALTHPLAN, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6453 ,Blue Cross and Blue Shield of Louisiana HMO ,"HMO LOUISIANA, INC. ",Louisiana Health Service & Indemnity Company ,20%,29%,22%,16%,15%
H6502 ,Blue Medicare Advantage ,MISSOURI VALLEY LIFE AND HEALTH INSURANCE COMPANY ,Blue Cross and Blue Shield of Kansas City ,19%,22%,26%,Not Available ,11%
H6526 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF NEW MEXICO, INC. ","UnitedHealth Group, Inc. ",14%,30%,13%,8%,16%
H6528 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6529 ,MyTruAdvantage ,"SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC. ","SIHO Holding, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6550 ,Wellcare by Allwell ,"SUNFLOWER STATE HEALTH PLAN, INC. ",Centene Corporation ,30%,25%,14%,Not Available ,22%
H6594 ,Wellcare ,"WELLCARE HEALTH PLANS OF VERMONT, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6595 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF KENTUCKY, LTD. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6605 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF HAWAII, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6622 ,Humana ,HUMANA WI HEALTH ORGANIZATION INSURANCE CORP ,Humana Inc. ,21%,27%,17%,Not Available ,19%
H6652 ,American Health Advantage of Florida ,"AMERICAN HEALTH PLAN OF FL, INC. ","American Health Companies, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6672 ,Clear Spring Health ,"EON HEALTH, INC. (GA) ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6678 ,Ascension Complete ,CENTENE VENTURE INSURANCE COMPANY TEXAS ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6706 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF COLORADO, INC. ","UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6713 ,Wellcare ,"WELLCARE OF ILLINOIS, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6723 ,Medical Mutual of Ohio ,MEDICAL MUTUAL OF OHIO ,MEDICAL MUTUAL OF OHIO ,7%,28%,20%,7%,7%
H6743 ,ATRIO Health Plans ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,13%,14%,25%,8%,10%
H6750 ,"Harvard Pilgrim Health Care of New England, Inc. ","HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC. ","Point32Health, Inc. ",18%,16%,24%,11%,12%
H6776 ,RiverSpring Health Plans ,"ELDERSERVE HEALTH, INC. ",Riverspring Health Holding Corp. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6815 ,Wellcare by Health Net ,HEALTH NET HEALTH PLAN OF OREGON ,Centene Corporation ,18%,37%,17%,5%,9%
H6830 ,Ascension Complete ,CENTENE VENTURE COMPANY KANSAS ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6832 ,Align Senior Care ,"ALIGN SENIOR CARE MI, LLC ","Innovative Long Term Care Management, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6851 ,BMC HealthNet Plan ,"BOSTON MEDICAL CENTER HEALTH PLAN, INC. ","BMC Health System, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6874 ,Aspirus Health Plan ,"ASPIRUS HEALTH PLAN, INC. ","Aspirus, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6891 ,American Health Advantage of Texas ,"AMERICAN HEALTH PLAN OF TX, INC. ","American Health Companies, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6898 ,Vermont Blue Advantage ,"VERMONT BLUE ADVANTAGE, INC. ",Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6910 ,MediGold ,"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC. ",Trinity Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6936 ,Blue Cross Blue Shield of Arizona ,"BLUE CROSS & BLUE SHIELD OF ARIZONA, INC. ",Blue Cross Blue Shield of Arizona ,18%,37%,12%,Not Available ,11%
H6959 ,KeyCare Advantage ,"ISNP VENTURES, LLC ","ISNP Holdings, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6975 ,Wellcare ,"WELLCARE OF ALABAMA, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6988 ,Centers Plan for Healthy Living ,"CENTERS PLAN FOR HEALTHY LIVING, LLC ","Centers Plan for Healthy Living, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7006 ,ATRIO Health Plans ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,7%,9%,36%,6%,7%
H7020 ,Cigna ,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC. ",CIGNA ,16%,30%,15%,Not Available ,12%
H7063 ,Blue Cross and Blue Shield of Kansas ,"BLUECROSS BLUESHIELD KANSAS SOLUTIONS, INC. ",Blue Cross Blue Shield of Kansas ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7074 ,Alignment Health Plan ,"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC. ","Alignment Healthcare USA, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7076 ,CareSource ,"CARESOURCE INDIANA, INC. ",CareSource ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7093 ,Anthem Blue Cross and Blue Shield ,COMMUNITY INSURANCE COMPANY ,Anthem Inc. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7115 ,Memorial Hermann Health Plan ,MEMORIAL HERMANN HEALTH PLAN ,Memorial Hermann Health System ,19%,29%,20%,7%,12%
H7123 ,UPMC for Life Complete Care ,"UPMC HEALTH COVERAGE, INC. ",UPMC Health System ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7149 ,Aetna Medicare ,AETNA HEALTH INC. (PA) ,CVS Health Corporation ,15%,20%,19%,7%,10%
H7151 ,Devoted Health ,"DEVOTED HEALTH PLAN OF ILLINOIS, INC. ","Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7163 ,Vantage Health Plan ,"VANTAGE HEALTH PLAN OF MISSISSIPPI, INC. ",Louisiana Health Service & Indemnity Company ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7165 ,Blue Cross Blue Shield of South Carolina ,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA ,BlueCross BlueShield of South Carolina (BCBSSC) ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7169 ,Wellcare ,"BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7173 ,Wellcare by Allwell ,"PEACH STATE HEALTH PLAN, INC. ",Centene Corporation ,23%,35%,20%,Not Available ,15%
H7175 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC. ",Centene Corporation ,33%,29%,12%,Not Available ,31%
H7220 ,Indiana University Health Plans ,"INDIANA UNIVERSITY HEALTH PLANS NFP, INC. ",Indiana University Health ,10%,16%,26%,8%,11%
H7245 ,Premera Blue Cross Medicare Advantage ,PREMERA BLUE CROSS ,Premera ,13%,12%,21%,9%,10%
H7273 ,Banner Medicare Advantage Plus ,BANNER HEALTH INSURANCE GROUP ,Banner Health ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7284 ,Humana ,"HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC. ",Humana Inc. ,17%,23%,29%,Not Available ,13%
H7301 ,Aetna Medicare ,"COVENTRY HEALTH CARE OF ILLINOIS, INC. ",CVS Health Corporation ,17%,27%,25%,Not Available ,14%
H7322 ,Oscar ,"OSCAR HEALTH PLAN OF NEW YORK, INC. ","Oscar Health, Inc. ",26%,43%,27%,Not Available ,Not Available
H7323 ,Wellcare ,WELLCARE NATIONAL HEALTH INSURANCE COMPANY ,Centene Corporation ,37%,55%,16%,Not Available ,29%
H7326 ,Wellcare ,"WELLCARE OF SOUTH CAROLINA, INC. ",Centene Corporation ,19%,33%,19%,Not Available ,16%
H7330 ,Zing Health ,"ZING HEALTH, INC. ","Zing Health Consolidator, Inc ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7360 ,Wellcare by Health Net ,"HEALTH NET OF CALIFORNIA, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7379 ,CareFirst BlueCross BlueShield Medicare Advantage ,"CAREFIRST ADVANTAGE PPO, INC. ","CareFirst, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7389 ,Cigna ,CIGNA HEALTH AND LIFE INSURANCE COMPANY ,CIGNA ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7399 ,Ascension Complete ,CENTENE VENTURE COMPANY ILLINOIS ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7404 ,UnitedHealthcare ,PACIFICARE LIFE ASSURANCE COMPANY ,"UnitedHealth Group, Inc. ",21%,21%,35%,16%,19%
H7445 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF ILLINOIS, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7464 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF THE MID-ATLANTIC, INC. ","UnitedHealth Group, Inc. ",24%,43%,10%,Not Available ,17%
H7511 ,Great Plains Medicare Advantage ,"GOOD SAMARITAN INSURANCE PLAN OF NEBRASKA, INC. ",Sanford Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7512 ,Ascension Complete ,CENTENE VENTURE COMPANY MICHIGAN ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7518 ,Wellcare ,"WELLCARE OF MISSOURI HEALTH INSURANCE COMPANY, INC ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7522 ,Medicare y Mucho Más ,"MMM HEALTHCARE, LLC ",Anthem Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7556 ,Ascension Complete ,"CENTENE VENTURE COMPANY ALABAMA HEALTH PLAN, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7557 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF MICHIGAN, INC. ","Longevity Health Founders, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7559 ,Magellan Complete Care ,"MAGELLAN COMPLETE CARE OF VIRGINIA, LLC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7594 ,Brandman Health Plan ,BRANDMAN HEALTH PLAN ,Los Angeles Jewish Home for the Aging ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7598 ,Group Health Cooperative of Eau Claire ,GROUP HEALTH COOPERATIVE OF EAU CLAIRE ,Group Health Cooperative of Eau Claire ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7607 ,Clever Care Health Plan ,"CLEVER CARE OF GOLDEN STATE, INC. ","Clever Care Health Plan, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7617 ,Humana ,EMPHESYS INSURANCE COMPANY ,Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7621 ,Humana ,"HUMANA HEALTH PLAN OF CALIFORNIA, INC. ",Humana Inc. ,19%,38%,20%,Not Available ,16%
H7646 ,PHP Medicare ,PHP MEDICARE ,Sparrow Health System ,28%,56%,18%,19%,22%
H7670 ,Mass Advantage ,"CENTRAL MASS HEALTH, LLC ",Central Mass Health Holding LLC ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7678 ,"Molina Healthcare of Texas, Inc. ","MOLINA HEALTHCARE OF TEXAS, INC. ","Molina Healthcare, Inc., ",38%,45%,16%,22%,19%
H7680 ,Prominence Health Plan ,PROMINENCE HEALTHFIRST OF TEXAS ,"Universal Health Services, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7728 ,Anthem Blue Cross and Blue Shield ,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC. ",Anthem Inc. ,17%,9%,35%,Not Available ,11%
H7746 ,MDwise Medicare ,"MDWISE, INC ",McLaren Health Care Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7779 ,American Health Advantage of Tennessee ,"AMERICAN HEALTH PLAN, INC. ","American Health Companies, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7787 ,Cigna ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",CIGNA ,22%,32%,16%,9%,12%
H7849 ,Cigna ,CIGNA HEALTH AND LIFE INSURANCE COMPANY ,CIGNA ,18%,45%,19%,Not Available ,15%
H7853 ,Bright Health ,BRIGHT HEALTH INSURANCE COMPANY ,"Bright Health Group, Inc. ",27%,38%,14%,7%,17%
H7917 ,BlueCross BlueShield of Tennessee ,"BLUECROSS BLUESHIELD OF TENNESSEE, INC. ",BlueCross BlueShield of Tennessee ,15%,17%,26%,9%,8%
H7925 ,Ascension Complete ,"CENTENE VENTURE COMPANY INDIANA, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H7971 ,Horizon Blue Cross Blue Shield of New Jersey ,HORIZON INSURANCE COMPANY ,"Horizon Healthcare Services, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H7993 ,Devoted Health ,"DEVOTED HEALTH PLAN OF TEXAS, INC. ","Devoted Health, Inc. ",16%,37%,11%,Not Available ,11%
H8003 ,Blue Cross Blue Shield of South Carolina ,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA ,BlueCross BlueShield of South Carolina (BCBSSC) ,14%,16%,35%,Not Available ,8%
H8010 ,Clover Health ,"CLOVER HMO OF NEW JERSEY, INC. ","Clover Health Holdings, Inc. ",23%,40%,22%,9%,15%
H8019 ,WellFirst Health ,SSM HEALTH PLAN ,SSM Health Care Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8064 ,FirstMedicare Direct ,FIRSTCAROLINACARE INSURANCE COMPANY ,The Carle Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8067 ,Provider Partners Health Plans ,"PROVIDER PARTNERS HEALTH PLAN, INC. ","Rifkin Managed Care Holding, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8087 ,Humana ,HUMANADENTAL INSURANCE COMPANY ,Humana Inc. ,12%,14%,30%,Not Available ,13%
H8093 ,Georgia Health Advantage ,"GEORGIA ASSURANCE, INC. ","American Health Companies, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8095 ,Wellmark Advantage Health Plan ,"WELLMARK ADVANTAGE HEALTH PLAN, INC. ",Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8121 ,Ascension Complete ,CENTENE VENTURE COMPANY TENNESSEE ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8125 ,UnitedHealthcare ,UnitedHealthcare Insurance Company of America ,"UnitedHealth Group, Inc. ",17%,31%,16%,Not Available ,9%
H8130 ,Molina Healthcare of Florida ,"MOLINA HEALTHCARE OF FLORIDA, INC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8133 ,Blue Cross and Blue Shield of Texas ,GHS INSURANCE COMPANY ,Health Care Service Corporation ,36%,37%,18%,Not Available ,24%
H8142 ,Baylor Scott & White Health Plan ,SCOTT AND WHITE HEALTH PLAN ,Baylor Scott & White Holdings ,20%,26%,31%,Not Available ,15%
H8145 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,8%,12%,42%,7%,8%
H8166 ,Highmark Inc. ,"HIGHMARK BCBSD, INC. ",Highmark Health ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8173 ,Devoted Health ,"DEVOTED HEALTH PLAN OF ARIZONA, INC. ","Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8176 ,Molina Healthcare of South Carolina ,"MOLINA HEALTHCARE OF SOUTH CAROLINA,INC ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8181 ,Blue Cross and Blue Shield of Nebraska ,"SAPPHIRE EDGE, INC. ",Blue Cross Blue Shield of Nebraska ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8189 ,Wellcare by Allwell ,"MANAGED HEALTH SERVICES, WISCONSIN ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8211 ,UnitedHealthcare ,MAMSI LIFE AND HEALTH INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",12%,17%,39%,Not Available ,13%
H8225 ,Ascension Complete ,CENTENE VENTURE COMPANY FLORIDA ,Centene Corporation ,22%,39%,19%,Not Available ,17%
H8293 ,Clear Spring Health ,"CLEAR SPRING HEALTH (VA), INC. ",Group 1001 ,36%,44%,20%,20%,31%
H8298 ,Horizon Blue Cross Blue Shield of New Jersey ,"HORIZON HEALTHCARE OF NEW JERSEY, INC. ","Horizon Healthcare Services, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8330 ,Tufts Health Plan ,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION ,"Point32Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8332 ,Aetna Medicare ,"AETNA BETTER HEALTH OF KANSAS, INC. ",CVS Health Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8343 ,Amerigroup Insurance Company ,AMERIGROUP INSURANCE COMPANY ,Anthem Inc. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8379 ,Priority Health Medicare ,"PRIORITY HEALTH CHOICE, INC. ",Spectrum Health System ,32%,17%,21%,27%,27%
H8385 ,Sanford Health Plan ,SANFORD HEALTH PLAN ,Sanford Health ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8390 ,CareSource ,CARESOURCE GEORGIA CO. ,CareSource ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8432 ,Empire BlueCross BlueShield ,"EMPIRE HEALTHCHOICE HMO, INC. ",Anthem Inc. ,26%,33%,27%,16%,14%
H8457 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF NEW YORK, INC. ","Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8458 ,Wellcare by Allwell ,"SILVERSUMMIT HEALTH PLAN, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8492 ,Dignity Health Plan ,DIGNITY CARE CORPORATION ,CommCare Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8547 ,Blue Cross and Blue Shield of Illinois ,ILLINOIS BLUE CROSS BLUE SHIELD INSURANCE COMPANY ,Health Care Service Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8552 ,Anthem Blue Cross Life and Health Insurance Co. ,ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY ,Anthem Inc. ,35%,28%,32%,15%,20%
H8553 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF THE SOUTHWEST, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8554 ,Blue Cross and Blue Shield of Texas ,GHS INSURANCE COMPANY ,Health Care Service Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8578 ,Health New England Medicare Advantage Plans ,"HEALTH NEW ENGLAND, INC. ","Baystate Health, Inc. ",21%,29%,32%,Not Available ,10%
H8597 ,Aetna Medicare ,AETNA BETTER HEALTH OF TEXAS INC. ,CVS Health Corporation ,22%,35%,11%,Not Available ,19%
H8604 ,The Health Plan ,THP INSURANCE COMPANY ,"The Health Plan of West Virginia, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8634 ,"Blue Cross and Blue Shield of IL, NM ",HEALTH CARE SERVICE CORPORATION ,Health Care Service Corporation ,15%,14%,37%,11%,16%
H8649 ,Aetna Medicare ,AETNA HEALTH OF UTAH INC ,CVS Health Corporation ,14%,14%,32%,Not Available ,13%
H8711 ,Wellcare ,WELLCARE HEALTH INSURANCE COMPANY OF NEW JERSEY ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8748 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",15%,40%,20%,Not Available ,8%
H8764 ,Aspire Health ,ASPIRE HEALTH PLAN ,Montage Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8768 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE CO. OF THE RIVER VALLEY ,"UnitedHealth Group, Inc. ",19%,24%,28%,Not Available ,18%
H8783 ,UCare ,"UCARE HEALTH, INC. ",UCare Minnesota ,7%,26%,22%,5%,10%
H8797 ,Perennial Advantage ,"PERENNIAL ADVANTAGE OF OHIO, INC. ","Perennial Consortium, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8845 ,Magellan Complete Care ,"MAGELLAN COMPLETE CARE OF ARIZONA, INC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8849 ,Amerigroup ,AMERIGROUP INSURANCE COMPANY ,Anthem Inc. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8854 ,CareFirst BlueCross BlueShield Medicare Advantage ,"CareFirst Advantage DSNP, Inc. ","CareFirst, Inc. ",26%,35%,12%,Not Available ,22%
H8889 ,Medica ,MEDICA HEALTH PLANS ,Medica Holding Company ,10%,7%,41%,11%,9%
H8908 ,Humana ,"HUMANA MEDICAL PLAN OF MICHIGAN, INC. ",Humana Inc. ,26%,35%,26%,Not Available ,16%
H8928 ,Fallon Health ,FALLON COMMUNITY HEALTH PLAN ,Fallon Community Health Plan ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8961 ,Oscar ,"OSCAR MANAGED CARE OF SOUTH FLORIDA, INC ","Oscar Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8967 ,Great Plains Medicare Advantage ,"GOOD SAMARITAN INSURANCE PLAN OF NORTH DAKOTA, LLC ",Sanford Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9001 ,Fallon Health ,FALLON COMMUNITY HEALTH PLAN ,Fallon Community Health Plan ,16%,18%,36%,9%,13%
H9003 ,Kaiser Permanente ,KAISER FOUNDATION HP OF THE N W ,"Kaiser Foundation Health Plan, Inc. ",21%,16%,25%,4%,13%
H9042 ,MyTruAdvantage ,"SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC. ","SIHO Holding, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9047 ,Providence Medicare Advantage Plans ,PROVIDENCE HEALTH ASSURANCE ,Providence Health & Services ,17%,25%,25%,8%,11%
H9065 ,AMH Health ,"AMH HEALTH, LLC ",Anthem Inc. ,13%,19%,23%,Not Available ,13%
H9066 ,Nascentia Health Plus ,VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK ,VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9070 ,Humana ,COMPBENEFITS INSURANCE COMPANY ,Humana Inc. ,19%,25%,28%,Not Available ,17%
H9078 ,GlobalHealth ,"GLOBALHEALTH OF ARIZONA, INC. ","MHH Healthcare, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
