2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions - DMC23,Physical Functioning Activities of Daily Living - DMC24,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD06,MPF – Stability - DMD07,Call Center – Pharmacy Hold Time - DMD08,Plan Submitted Higher Prices for Display on MPF - DMD09,Reminders to Fill Prescriptions - DMD10,Reminders to Take Medications - DMD11,Antipsychotic Use in Persons with Dementia - DMD12,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD13,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD14,Use of Opioids at High Dosage and from Multiple Providers - DMD15,MPF Price Accuracy - DMD16,Concurrent Use of Opioids and Benzodiazepines - DMD17,Use of Opioids at High Dosage in Persons Without Cancer - DMD18,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD19,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD20,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD21,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H9191,Provider Partners Health Plans,"PROVIDER PARTNERS HEALTH PLAN OF MISSOURI, INC.","Rifkin Managed Care Holding Company, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9207,Health Partners Medicare,"HEALTH PARTNERS PLANS, INC.","Health Partners Plans, Inc.",49%,49%,89%,55%,32%,Not enough data available,00:44,56%,96%,0.00%,79%,90%,51%,6%,66,72%,47%,56%,25%,82%,30%,48%,6%,93,100%,100.00%,0.00%,00:44,2%,100%,100,00:17,63,55%,58%,10%,10%,No data available,0.10%,94,20.47%,8.55%,0.72%,13.17%,9.25%,20.29,18%,24%,38%,10%,12%,100
H9219,AMH Health,"AMH HEALTH PLANS OF MAINE, INC.",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9258,WellCare,"WELLCARE HEALTH PLANS OF RHODE ISLAND, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9276,Allwell,"SUNSHINE HEALTH COMMUNITY SOLUTIONS, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,76%,Not enough data available,Not enough data available,00:16,45%,87%,1.56%,65%,50%,28%,1%,No data available,71%,Not enough data available,42%,1%,71%,0%,29%,13%,No data available,No data available,No data available,1.56%,00:16,1%,100%,103,00:05,88,48%,38%,5%,4%,No data available,0.00%,94,16.59%,7.03%,0.00%,9.07%,4.74%,30.17,14%,29%,17%,10%,15%,100
H9287,Allwell,"HEALTH NET COMMUNITY SOLUTIONS OF ARIZONA, INC.",Centene Corporation,Not enough data available,65%,Not enough data available,83%,30%,88,00:09,75%,95%,1.56%,74%,81%,29%,4%,35,76%,54%,49%,6%,85%,0%,35%,11%,No data available,100%,100.00%,1.56%,00:09,2%,No data available,102,00:05,89,44%,24%,6%,7%,No data available,0.00%,93,10.34%,16.29%,0.68%,7.39%,5.02%,10.52,29%,21%,15%,15%,25%,100
H9302,Premera Blue Cross Medicare Advantage,PREMERA BLUE CROSS,Premera,8%,60%,92%,85%,30%,91,00:31,81%,94%,0.00%,74%,74%,34%,4%,30,32%,60%,67%,27%,86%,0%,45%,8%,98,100%,100.00%,0.00%,00:31,2%,100%,101,00:20,89,39%,25%,15%,14%,16%,0.00%,91,11.57%,9.35%,0.35%,6.36%,4.01%,1.33,17%,10%,24%,7%,8%,80
H9335,WellCare,"WELLCARE HEALTH PLANS OF MISSOURI, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9364,WellCare,"WELLCARE OF MAINE, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:15,Plan too new to be measured,Plan too new to be measured,2.48%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,100%,No data available,2.48%,00:15,2%,100%,100,00:30,96,No data available,No data available,10%,10%,No data available,0.00%,94,19.97%,10.31%,0.00%,12.98%,5.01%,6.66,43%,34%,13%,22%,27%,100
H9387,Allwell,"SUNFLOWER STATE HEALTH PLAN, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9403,Clear Spring Health,"EON HEALTH, INC. (SC)",Group 1001,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,02:07,No data available,84%,2.58%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,42%,39%,29%,0%,71%,0%,25%,Not enough data available,No data available,No data available,No data available,2.58%,02:07,3%,100%,65,00:35,80,No data available,No data available,No data available,No data available,No data available,No data available,77,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9408,Vibra Health Plan,"VIBRA HEALTH PLAN, INC.",Capital BlueCross,Not enough data available,67%,Not enough data available,69%,Not enough data available,93,00:22,74%,97%,1.56%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,35,4%,52%,33%,5%,79%,2%,30%,9%,No data available,No data available,No data available,0.78%,00:06,3%,100%,99,00:07,90,53%,28%,6%,3%,No data available,0.00%,93,14.61%,13.77%,0.00%,9.01%,4.72%,8.18,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9412,Geisinger Gold,"GEISINGER QUALITY OPTIONS, INC.",Geisinger Health,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,CMS Found Issues with Plan's Data,Not enough data available,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,Not enough data available,No data available,No data available,No data available,Not enough data available,Not enough data available,No data available,100%,No data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9428,WellCare,"WELLCARE HEALTH INSURANCE OF TENNESSEE, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:18,Plan too new to be measured,Plan too new to be measured,3.26%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,3.26%,00:18,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:30,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9431,Aetna Medicare,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:56,Plan too new to be measured,Plan too new to be measured,0.50%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,100%,No data available,0.50%,00:56,2%,100%,100,00:38,93,No data available,No data available,7%,7%,No data available,0.00%,98,13.66%,10.19%,0.18%,7.06%,4.47%,7.97,27%,32%,20%,Not Available,19%,100
H9455,Steward Health Choice Generations Utah,"HEALTH CHOICE UTAH, INC.","Steward Health Care System, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:08,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,0.00%,00:08,No data available,100%,103,00:20,80,No data available,No data available,No data available,No data available,No data available,No data available,80,20.00%,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9460,Cigna,"CIGNA HEALTHCARE OF ST LOUIS, INC.",CIGNA,Not enough data available,53%,Not enough data available,71%,Not enough data available,Not enough data available,00:21,75%,93%,0.00%,Not enough data available,Not enough data available,24%,0%,38,68%,38%,56%,15%,79%,8%,39%,8%,96,100%,100.00%,0.00%,00:21,3%,100%,98,00:10,86,50%,36%,4%,4%,No data available,0.00%,73,24.36%,6.62%,0.00%,5.93%,6.81%,6.88,26%,37%,14%,Not Available,19%,100
H9487,Michigan Complete Health,"MICHIGAN COMPLETE HEALTH, INC.",Centene Corporation,42%,58%,Not enough data available,47%,23%,Not enough data available,00:07,47%,84%,2.34%,66%,88%,30%,2%,46,57%,52%,34%,1%,65%,0%,25%,6%,97,100%,No data available,2.34%,00:07,Plan not required to report measure,100%,Plan not required to report measure,00:05,Plan not required to report measure,66%,54%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.23,Not Available,Not Available,Not Available,Not Available,Not Available,80
H9489,Vermont Blue Advantage,"VERMONT BLUE ADVANTAGE, INC.",Blue Cross Blue Shield of Michigan Mutual Ins. Co.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9516,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF NEW YORK,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:20,Plan too new to be measured,Plan too new to be measured,2.34%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,2.34%,00:20,No data available,100%,No data available,00:21,98,No data available,No data available,No data available,No data available,No data available,No data available,76,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9525,Anthem Blue Cross and Blue Shield,COMPCARE HEALTH SERVICES INSURANCE CORPORATION,Anthem Inc.,42%,51%,87%,75%,30%,93,00:54,77%,95%,1.04%,73%,77%,40%,5%,54,72%,53%,55%,9%,80%,21%,41%,6%,94,89%,100.00%,2.79%,00:15,3%,100%,101,00:17,87,40%,24%,10%,9%,13%,0.02%,95,20.20%,4.61%,0.66%,8.83%,6.16%,2.66,17%,19%,23%,Not Available,13%,80
H9572,Blue Cross Blue Shield of Michigan,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY,Blue Cross Blue Shield of Michigan Mutual Ins. Co.,60%,69%,91%,86%,40%,92,00:26,79%,97%,1.88%,77%,79%,42%,4%,45,75%,59%,47%,16%,81%,1%,36%,8%,94,81%,100.00%,1.88%,00:26,3%,100%,101,00:10,87,51%,17%,12%,11%,11%,0.02%,87,18.00%,6.24%,0.57%,7.50%,5.24%,0.41,13%,6%,35%,9%,8%,80
H9576,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,84%,61%,89%,Not enough data available,Not enough data available,93,00:19,58%,94%,0.79%,79%,91%,38%,12%,75,75%,60%,50%,25%,77%,30%,46%,12%,No data available,100%,100.00%,0.79%,00:19,Plan not required to report measure,100%,Plan not required to report measure,00:21,Plan not required to report measure,58%,41%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.60,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9585,BMC HealthNet Plan Senior Care Options,"BOSTON MEDICAL CENTER HEALTH PLAN, INC.","BMC Health System, Inc.",Not enough data available,Not enough data available,Not enough data available,59%,Not enough data available,No data available,00:02,No data available,99%,0.78%,88%,97%,Not enough data available,Not enough data available,No data available,57%,74%,71%,64%,85%,60%,70%,14%,No data available,100%,100.00%,0.78%,00:02,3%,100%,100,00:11,80,No data available,No data available,15%,17%,No data available,1.10%,94,12.96%,8.38%,1.10%,12.73%,6.47%,2.96,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9589,Clear Spring Health,"EON HEALTH, INC. (GA)",Group 1001,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,02:07,No data available,88%,2.58%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,2.58%,02:07,No data available,100%,71,00:35,85,No data available,No data available,No data available,No data available,No data available,No data available,75,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9590,Longevity Health,"LONGEVITY HEALTH PLAN OF ILLINOIS, INC.","Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:28,Plan too new to be measured,Plan too new to be measured,2.34%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,2.34%,00:28,No data available,100%,No data available,00:03,-125,No data available,No data available,16%,No data available,16%,No data available,100,No data available,No data available,No data available,No data available,9.05%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H9615,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",42%,63%,89%,85%,41%,92,00:25,83%,97%,0.78%,77%,87%,30%,4%,41,65%,64%,39%,23%,83%,28%,43%,10%,97,100%,100.00%,0.00%,00:10,2%,100%,102,00:15,83,48%,21%,12%,10%,15%,0.07%,93,14.59%,8.40%,0.25%,5.64%,3.55%,6.54,10%,14%,29%,10%,9%,100
H9630,Allwell,"ARKANSAS HEALTH AND WELLNESS HEALTH PLAN, INC",Centene Corporation,30%,58%,Not enough data available,76%,Not enough data available,91,00:12,70%,97%,2.34%,76%,75%,23%,2%,No data available,44%,41%,54%,7%,81%,1%,36%,12%,No data available,71%,100.00%,2.34%,00:12,4%,100%,101,00:05,92,49%,28%,6%,4%,No data available,0.00%,95,22.27%,3.18%,0.25%,5.86%,6.24%,10.00,23%,20%,22%,15%,18%,100
H9662,Cigna,"CIGNA HEALTHCARE OF CALIFORNIA, INC.",CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9686,Alignment Health Plan,"ALIGNMENT HEALTH PLAN OF NEVADA, INC.","Alignment Healthcare USA, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9699,Health Advantage,"HMO PARTNERS, INC.","HMO Partners, Inc.",Not enough data available,58%,Not enough data available,71%,16%,90,00:28,68%,94%,3.15%,65%,77%,19%,2%,31,64%,58%,43%,4%,81%,1%,32%,7%,97,100%,No data available,3.15%,00:28,3%,100%,99,00:19,91,41%,28%,7%,6%,No data available,0.00%,94,19.85%,7.70%,0.23%,4.30%,6.53%,22.96,15%,25%,19%,9%,9%,80
H9706,Blue Cross and Blue Shield of Texas,HCSC INSURANCE SERVICES COMPANY,Health Care Service Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:27,Plan too new to be measured,Plan too new to be measured,4.40%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,4.40%,00:27,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:14,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9712,HAP Empowered MI Health Link,"HAP EMPOWERED HEALTH PLAN, INC.",Henry Ford Health System,54%,40%,Not enough data available,60%,33%,Not enough data available,00:34,52%,88%,0.78%,70%,91%,30%,4%,31,52%,54%,8%,CMS Found Issues with Plan's Data,67%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,9%,97,50%,No data available,1.57%,00:21,Plan not required to report measure,100%,Plan not required to report measure,00:11,Plan not required to report measure,65%,47%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.25,Not Available,Not Available,Not Available,Not Available,Not Available,100
