2021 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H6910,MediGold,"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC.",Trinity Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6936,Blue Cross Blue Shield of Arizona,"BLUE CROSS & BLUE SHIELD OF ARIZONA, INC.",Blue Cross Blue Shield of Arizona,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6959,KeyCare Advantage,"ISNP VENTURES, LLC","ISNP Holdings, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6975,WellCare,"WELLCARE OF ALABAMA, INC.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H6988,Centers Plan for Healthy Living,"CENTERS PLAN FOR HEALTHY LIVING, LLC","Centers Plan for Healthy Living, LLC",39%,55%,24%,18%,23%
H7006,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,9%,6%,45%,5%,5%
H7020,Cigna,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",CIGNA,16%,27%,19%,12%,12%
H7063,Blue Cross and Blue Shield of Kansas,"BLUECROSS BLUESHIELD KANSAS SOLUTIONS, INC.",Blue Cross Blue Shield of Kansas,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7076,CareSource,"CARESOURCE INDIANA, INC.",CareSource Management Group Co.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7115,Memorial Hermann Health Plan,MEMORIAL HERMANN HEALTH PLAN,Memorial Hermann Health System,21%,18%,28%,11%,16%
H7119,Provider Partners Health Plans,PROVIDER PARTNERS HEALTH PLAN OF OHIO,"Rifkin Managed Care Holding Company, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H7123,UPMC for Life Dual,"UPMC HEALTH COVERAGE, INC.",UPMC Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7149,Aetna Medicare,AETNA HEALTH INC. (PA),CVS Health Corporation,13%,18%,20%,7%,9%
H7163,Vantage Health Plan,"VANTAGE HEALTH PLAN OF MISSISSIPPI, INC.",Louisiana Health Service & Indemnity Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7165,Blue Cross Blue Shield of South Carolina,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,BlueCross BlueShield of South Carolina (BCBSSC),Not Available,Not Available,Not Available,Not Available,Not Available
H7172,"Aetna Better Health of Ohio, MyCare Ohio",AETNA BETTER HEALTH INC. (OH),CVS Health Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H7173,Allwell,"PEACH STATE HEALTH PLAN, INC.",Centene Corporation,19%,39%,14%,11%,20%
H7175,WellCare,"WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7220,Indiana University Health Plans - Medicare,"INDIANA UNIVERSITY HEALTH PLANS NFP, INC.",Indiana University Health,11%,21%,27%,7%,8%
H7245,Premera Blue Cross Medicare Advantage,PREMERA BLUE CROSS,Premera,22%,19%,19%,10%,12%
H7273,Banner Medicare Advantage Plus,BANNER HEALTH INSURANCE GROUP,Banner Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7284,Humana,"HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC.",Humana Inc.,17%,27%,34%,20%,Not Available
H7301,Aetna Medicare,"COVENTRY HEALTH CARE OF ILLINOIS, INC.",CVS Health Corporation,15%,16%,20%,8%,12%
H7322,Oscar,"OSCAR HEALTH PLAN OF NEW YORK, INC.","Mulberry Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7323,WellCare,WELLCARE NATIONAL HEALTH INSURANCE COMPANY,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7326,WellCare,"WELLCARE OF SOUTH CAROLINA, INC.",Centene Corporation,22%,30%,21%,Not Available,17%
H7330,Zing Health,"ZING HEALTH, INC.","ZING HEALTH HOLDINGS OF MICHIGAN, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7399,Ascension Complete,CENTENE VENTURE COMPANY ILLINOIS,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7404,UnitedHealthcare,PACIFICARE LIFE ASSURANCE COMPANY,"UnitedHealth Group, Inc.",20%,24%,27%,20%,17%
H7409,Bright Health,"BRIGHT HEALTH COMPANY OF SOUTH CAROLINA, INC.","Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7419,Tufts Health Plan,"TUFTS HEALTH PUBLIC PLANS, INC.","Tufts Health Plan, Inc",Not Available,Not Available,Not Available,Not Available,Not Available
H7445,UnitedHealthcare,"UNITEDHEALTHCARE OF ILLINOIS, INC.","UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H7464,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MID-ATLANTIC, INC.","UnitedHealth Group, Inc.",26%,39%,14%,Not Available,18%
H7511,Great Plains Medicare Advantage,"GOOD SAMARITAN INSURANCE PLAN OF NEBRASKA, INC.",Sanford Health,Not Available,Not Available,Not Available,Not Available,Not Available
H7518,WellCare,"WELLCARE OF MISSOURI HEALTH INSURANCE COMPANY, INC",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7522,Medicare y Mucho M‡s,"MMM HEALTHCARE, LLC","Summit Master Company, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H7557,Longevity Health Plan,"LONGEVITY HEALTH PLAN OF MICHIGAN, INC.","Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7559,Magellan Complete Care,"MAGELLAN COMPLETE CARE OF VIRGINIA, INC.","Magellan Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7594,Brandman Health Plan,BRANDMAN HEALTH PLAN,Los Angeles Jewish Home for the Aging,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7598,Group Health Cooperative of Eau Claire,GROUP HEALTH COOPERATIVE OF EAU CLAIRE,Group Health Cooperative of Eau Claire,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7607,Clever Care Health Plan,"CLEVER CARE OF GOLDEN STATE, INC.","Clever Care Health Plan, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7617,Humana,EMPHESYS INSURANCE COMPANY,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7621,Humana,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Humana Inc.,24%,35%,21%,Not Available,15%
H7646,PHP Medicare,PHP MEDICARE,Sparrow Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7678,"Molina Healthcare of Texas, Inc.","MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H7680,Prominence Health Plan,PROMINENCE HEALTHFIRST OF TEXAS,"Universal Health Services, Inc.",27%,37%,11%,Not Available,17%
H7728,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Inc.,11%,11%,32%,12%,13%
H7779,American Health Advantage of Tennessee,"AMERICAN HEALTH PLAN, INC.","American Health Companies, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H7787,Cigna,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,26%,53%,10%,7%,15%
H7802,Sunrise Advantage Plan,"SPARTAN PLAN VA, INC.",Public Sector Pension Investment Board,Not Available,Not Available,Not Available,Not Available,Not Available
H7833,UnitedHealthcare,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C.","UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H7844,Molina Healthcare of Michigan,"MOLINA HEALTHCARE OF MICHIGAN, INC.","Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H7849,Cigna,CIGNA HEALTH AND LIFE INSURANCE COMPANY,CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7853,Bright Health,BRIGHT HEALTH INSURANCE COMPANY,"Bright Health, Inc.",31%,47%,22%,10%,25%
H7885,Health Plan of San Mateo,SAN MATEO HEALTH COMMISSION,Health Plan of San Mateo,Not Available,Not Available,Not Available,Not Available,Not Available
H7890,Santa Clara Family Health Plan CalMediConnect Plan,SANTA CLARA COUNTY HEALTH AUTHORITY,SANTA CLARA COUNTY HEALTH AUTHORITY,Not Available,Not Available,Not Available,Not Available,Not Available
H7917,BlueCross BlueShield of Tennessee,"BLUECROSS BLUESHIELD OF TENNESSEE, INC.",BlueCross BlueShield of Tennessee,10%,23%,20%,9%,8%
H7925,Ascension Complete,"CENTENE VENTURE COMPANY INDIANA, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7971,Horizon Blue Cross Blue Shield of New Jersey,HORIZON INSURANCE COMPANY,"Horizon Healthcare Services, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H7993,Devoted Health,"DEVOTED HEALTH PLAN OF TEXAS, INC.","Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8003,Blue Cross Blue Shield of South Carolina,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,BlueCross BlueShield of South Carolina (BCBSSC),13%,20%,30%,16%,12%
H8010,Clover Health,"CLOVER HMO OF NEW JERSEY, INC.","Clover Health Holdings, Inc.",24%,27%,14%,Not Available,Not Available
H8016,OneCare Connect,ORANGE COUNTY HEALTH AUTHORITY,Orange County Health Authority,Not Available,Not Available,Not Available,Not Available,Not Available
H8019,WellFirst Health,SSM HEALTH PLAN,SSM Healthcare Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8026,Aetna Better Health Premier Plan,AETNA BETTER HEALTH OF MICHIGAN INC.,CVS Health Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H8046,Molina Healthcare of Illinois,"MOLINA HEALTHCARE OF ILLINOIS, INC.","Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H8064,FirstMedicare Direct,FIRSTCAROLINACARE INSURANCE COMPANY,The Carle Foundation,Not Available,Not Available,Not Available,Not Available,Not Available
H8067,Provider Partners Health Plans,"PROVIDER PARTNERS HEALTH PLAN, INC.","Rifkin Managed Care Holding Company, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H8087,Humana,HUMANADENTAL INSURANCE COMPANY,Humana Inc.,24%,18%,31%,Not Available,14%
H8093,Georgia Health Advantage,"GEORGIA ASSURANCE, INC.","American Health Companies, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8125,UnitedHealthcare,"SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8130,Molina Healthcare of Florida,"MOLINA HEALTHCARE OF FLORIDA, INC.","Molina Healthcare, Inc.,",39%,38%,8%,Not Available,22%
H8133,Blue Cross and Blue Shield of Texas,GHS INSURANCE COMPANY,Health Care Service Corporation,36%,36%,22%,12%,20%
H8142,Scott and White Health Plan,SCOTT AND WHITE HEALTH PLAN,Baylor Scott & White Holdings,22%,32%,26%,Not Available,13%
H8145,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,10%,10%,41%,9%,8%
H8173,Devoted Health,"DEVOTED HEALTH PLAN OF ARIZONA, INC.","Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8176,Molina Healthcare of South Carolina and Ohio,"MOLINA HEALTHCARE OF SOUTH CAROLINA,INC","Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8181,Blue Cross and Blue Shield of Nebraska,"SAPPHIRE EDGE, INC.",Blue Cross Blue Shield of Nebraska,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8189,Allwell,"MANAGED HEALTH SERVICES, WISCONSIN",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H8197,Molina Healthcare of Texas,"MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H8211,UnitedHealthcare,MAMSI LIFE AND HEALTH INSURANCE COMPANY,"UnitedHealth Group, Inc.",16%,21%,33%,Not Available,14%
H8213,FIRST CHOICE VIP CARE PLUS,"SELECT HEALTH OF SOUTH CAROLINA, INC.","Independence Health Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H8225,Ascension Complete,CENTENE VENTURE COMPANY FLORIDA,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8258,L.A. Care Cal MediConnect Plan,LOCAL INITIATIVE HEALTH AUTHORITY FOR L.A. COUNTY,Local Initiative Health Authority for LA County,Not Available,Not Available,Not Available,Not Available,Not Available
H8280,Bright Health,"BRIGHT HEALTH INSURANCE COMPANY OF ALABAMA, INC.","Bright Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H8293,Clear Spring Health,"CLEAR SPRING HEALTH (VA), INC.",Group 1001,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8298,Horizon Blue Cross Blue Shield of New Jersey,"HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Healthcare Services, Inc.",24%,46%,10%,20%,19%
H8332,Aetna Medicare,"AETNA BETTER HEALTH OF KANSAS, INC.",CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8343,Amerigroup Insurance Company,AMERIGROUP INSURANCE COMPANY,Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8364,Bright Health,"BRIGHT HEALTH INSURANCE COMPANY OF ALABAMA, INC.","Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8379,Priority Health Medicare,"PRIORITY HEALTH CHOICE, INC.",Spectrum Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8390,CareSource,CARESOURCE GEORGIA CO.,CareSource Management Group Co.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8423,Cigna CarePlan,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,Not Available,Not Available,Not Available,Not Available,Not Available
H8432,Empire BlueCross BlueShield,"EMPIRE HEALTHCHOICE HMO, INC.",Anthem Inc.,15%,20%,23%,15%,13%
H8452,CareSource MyCare Ohio,CARESOURCE,CareSource Management Group Co.,Not Available,Not Available,Not Available,Not Available,Not Available
H8457,Longevity Health Plan,"LONGEVITY HEALTH PLAN OF NEW YORK, INC.","Longevity Health Founders, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H8492,Dignity Health Plan,DIGNITY CARE CORPORATION,CommCare Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8547,Blue Cross and Blue Shield of Illinois,ILLINOIS BLUE CROSS BLUE SHIELD INSURANCE COMPANY,Health Care Service Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8552,Anthem Blue Cross Life and Health Insurance Co.,ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY,Anthem Inc.,22%,17%,57%,17%,15%
H8553,WellCare,"WELLCARE HEALTH INSURANCE OF THE SOUTHWEST, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8554,Blue Cross and Blue Shield of Texas,GHS INSURANCE COMPANY,Health Care Service Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H8578,Health New England Medicare Advantage Plans,"HEALTH NEW ENGLAND, INC.","Baystate Health, Inc.",21%,24%,29%,13%,12%
H8597,Aetna Medicare,AETNA BETTER HEALTH OF TEXAS INC.,CVS Health Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H8604,The Health Plan,THP INSURANCE COMPANY,"The Health Plan of West Virginia, Inc.",8%,29%,25%,10%,5%
H8634,"Blue Cross and Blue Shield of IL, NM",HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,32%,28%,45%,12%,17%
H8649,Aetna Medicare,AETNA HEALTH OF UTAH INC,CVS Health Corporation,17%,28%,19%,13%,9%
H8677,Molina Healthcare of California,MOLINA HEALTHCARE OF CALIFORNIA,"Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H8711,WellCare,WELLCARE HEALTH INSURANCE COMPANY OF NEW JERSEY,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8748,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",19%,17%,29%,11%,12%
H8764,Aspire Health Plan,ASPIRE HEALTH PLAN,Montage Health,Not Available,Not Available,Not Available,Not Available,Not Available
H8768,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE CO OF THE RIVER VALLEY,"UnitedHealth Group, Inc.",21%,40%,29%,12%,14%
H8783,UCare,"UCARE HEALTH, INC.",UCare Minnesota,24%,50%,20%,9%,13%
H8786,Amerigroup STAR+PLUS MMP,"AMERIGROUP TEXAS, INC.",Anthem Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H8797,Perennial Advantage,"PERENNIAL ADVANTAGE OF OHIO, INC.","Perennial Consortium, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8845,Magellan Complete Care,"MAGELLAN COMPLETE CARE OF ARIZONA, INC.","Magellan Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8849,Amerigroup Insurance Company,AMERIGROUP INSURANCE COMPANY,Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8854,University of Maryland Health Advantage,"UNIVERSITY OF MARYLAND HEALTH ADVANTAGE, INC.",University of Maryland Medical System Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H8889,Medica,MEDICA HEALTH PLANS,Medica Holding Company,7%,20%,35%,9%,6%
H8908,Humana,"HUMANA MEDICAL PLAN OF MICHIGAN, INC.",Humana Inc.,26%,32%,29%,Not Available,21%
H8961,Oscar,"OSCAR MANAGED CARE OF SOUTH FLORIDA, INC","Mulberry Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8967,Great Plains Medicare Advantage,"GOOD SAMARITAN INSURANCE PLAN OF NORTH DAKOTA, LLC",Sanford Health,Not Available,Not Available,Not Available,Not Available,Not Available
H9001,Fallon Health,FALLON COMMUNITY HEALTH PLAN,Fallon Community Health Plan,24%,31%,24%,10%,12%
H9003,Kaiser Permanente,KAISER FOUNDATION HP OF THE N W,"Kaiser Foundation Health Plan, Inc.",18%,24%,27%,5%,16%
H9042,MyTruAdvantage,"SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC.","SIHO Holding, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9047,Providence Medicare Advantage Plans,PROVIDENCE HEALTH ASSURANCE,Providence Health & Services,21%,33%,22%,9%,11%
H9065,AMH Health,"AMH HEALTH, LLC",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9066,Nascentia Health Plus,VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK,VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK,Not Available,Not Available,Not Available,Not Available,Not Available
H9070,Humana,COMPBENEFITS INSURANCE COMPANY,Humana Inc.,29%,31%,22%,Not Available,19%
H9082,"Molina Healthcare of New Mexico, Inc.","MOLINA HEALTHCARE OF NEW MEXICO, INC.","Molina Healthcare, Inc.,",19%,29%,8%,6%,13%
H9095,Longevity Health Plan,"LONGEVITY HEALTH PLAN OF OKLAHOMA, INC","Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9096,"Dean Advantage, Prevea360 Medicare Advantage","DEAN HEALTH PLAN, INC.",SSM Healthcare Corporation,14%,28%,26%,9%,12%
H9104,SCAN Health Plan,SCAN HEALTH PLAN,SCAN Health Plan,Not Available,Not Available,Not Available,Not Available,Not Available
H9147,Blue Cross and Blue Shield of NC Senior Health,BLUE CROSS AND BLUE SHIELD OF NC SENIOR HEALTH,Blue Cross and Blue Shield of North Carolina,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9153,West Virginia Senior Advantage,"WEST VIRGINIA SENIOR ADVANTAGE, INC.","Stonerise Senior Advantage Holdings, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H9191,Provider Partners Health Plans,"PROVIDER PARTNERS HEALTH PLAN OF MISSOURI, INC.","Rifkin Managed Care Holding Company, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9207,Health Partners Medicare,"HEALTH PARTNERS PLANS, INC.","Health Partners Plans, Inc.",18%,24%,38%,10%,12%
H9219,AMH Health,"AMH HEALTH PLANS OF MAINE, INC.",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9258,WellCare,"WELLCARE HEALTH PLANS OF RHODE ISLAND, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9276,Allwell,"SUNSHINE HEALTH COMMUNITY SOLUTIONS, INC.",Centene Corporation,14%,29%,17%,10%,15%
H9302,Premera Blue Cross Medicare Advantage,PREMERA BLUE CROSS,Premera,17%,10%,24%,7%,8%
H9335,WellCare,"WELLCARE HEALTH PLANS OF MISSOURI, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9364,WellCare,"WELLCARE OF MAINE, INC.",Centene Corporation,43%,34%,13%,22%,27%
H9387,Allwell,"SUNFLOWER STATE HEALTH PLAN, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9403,Clear Spring Health,"EON HEALTH, INC. (SC)",Group 1001,Not Available,Not Available,Not Available,Not Available,Not Available
H9408,Vibra Health Plan,"VIBRA HEALTH PLAN, INC.",Capital BlueCross,Not Available,Not Available,Not Available,Not Available,Not Available
H9412,Geisinger Gold,"GEISINGER QUALITY OPTIONS, INC.",Geisinger Health,Not Available,Not Available,Not Available,Not Available,Not Available
H9428,WellCare,"WELLCARE HEALTH INSURANCE OF TENNESSEE, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9431,Aetna Medicare,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,CVS Health Corporation,27%,32%,20%,Not Available,19%
H9455,Steward Health Choice Generations Utah,"HEALTH CHOICE UTAH, INC.","Steward Health Care System, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H9460,Cigna,"CIGNA HEALTHCARE OF ST LOUIS, INC.",CIGNA,26%,37%,14%,Not Available,19%
H9487,Michigan Complete Health,"MICHIGAN COMPLETE HEALTH, INC.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H9489,Vermont Blue Advantage,"VERMONT BLUE ADVANTAGE, INC.",Blue Cross Blue Shield of Michigan Mutual Ins. Co.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9516,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF NEW YORK,"Bright Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H9525,Anthem Blue Cross and Blue Shield,COMPCARE HEALTH SERVICES INSURANCE CORPORATION,Anthem Inc.,17%,19%,23%,Not Available,13%
H9572,Blue Cross Blue Shield of Michigan,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY,Blue Cross Blue Shield of Michigan Mutual Ins. Co.,13%,6%,35%,9%,8%
H9576,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,Not Available,Not Available,Not Available,Not Available,Not Available
H9585,BMC HealthNet Plan Senior Care Options,"BOSTON MEDICAL CENTER HEALTH PLAN, INC.","BMC Health System, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H9589,Clear Spring Health,"EON HEALTH, INC. (GA)",Group 1001,Not Available,Not Available,Not Available,Not Available,Not Available
H9590,Longevity Health,"LONGEVITY HEALTH PLAN OF ILLINOIS, INC.","Longevity Health Founders, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H9615,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",10%,14%,29%,10%,9%
H9630,Allwell,"ARKANSAS HEALTH AND WELLNESS HEALTH PLAN, INC",Centene Corporation,23%,20%,22%,15%,18%
H9662,Cigna,"CIGNA HEALTHCARE OF CALIFORNIA, INC.",CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9686,Alignment Health Plan,"ALIGNMENT HEALTH PLAN OF NEVADA, INC.","Alignment Healthcare USA, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9699,Health Advantage,"HMO PARTNERS, INC.","HMO Partners, Inc.",15%,25%,19%,9%,9%
H9706,Blue Cross and Blue Shield of Texas,HCSC INSURANCE SERVICES COMPANY,Health Care Service Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
