,Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,C Breast Cancer Screening,C Colorectal Cancer Screening,C Cardiovascular Care – Cholesterol Screening,C Diabetes Care – Cholesterol Screening,C Glaucoma Testing,C Annual Flu Vaccine,C Improving or Maintaining Physical Health,C Improving or Maintaining Mental Health,C Monitoring Physical Activity,C Adult BMI Assessment,C Care for Older Adults – Medication Review,C Care for Older Adults – Functional Status Assessment,C Care for Older Adults – Pain Screening,C Osteoporosis Management in Women who had a Fracture,C Diabetes Care – Eye Exam,C Diabetes Care – Kidney Disease Monitoring,C Diabetes Care – Blood Sugar Controlled,C Diabetes Care – Cholesterol Controlled,C Controlling Blood Pressure,C Rheumatoid Arthritis Management,C Improving Bladder Control,C Reducing the Risk of Falling,C Plan All-Cause Readmissions,C Getting Needed Care,C Getting Appointments and Care Quickly,C Customer Service,C Rating of Health Care Quality,C Rating of Health Plan,C Care Coordination,C Complaints about the Health Plan,C Beneficiary Access and Performance Problems,C Members Choosing to Leave the Plan,C Health Plan Quality Improvement,C Plan Makes Timely Decisions about Appeals,C Reviewing Appeals Decisions,C Call Center – Foreign Language Interpreter and TTY Availability,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,"HD4: Member Complaints, Problems Getting Services, and Improvement in the Health Plan's Performance",HD5: Health Plan Customer Service,SNP,Part C Summary,D Call Center – Foreign Language Interpreter and TTY Availability,D Appeals Auto–Forward,D Appeals Upheld,D Complaints about the Drug Plan,D Beneficiary Access and Performance Problems,D Members Choosing to Leave the Plan,D Drug Plan Quality Improvement,D Rating of Drug Plan,D Getting Needed Prescription Drugs,D MPF Price Accuracy,D High Risk Medication,D Diabetes Treatment,D Medication Adherence for Diabetes Medications ,D Medication Adherence for Hypertension (RAS antagonists) ,D Medication Adherence for Cholesterol (Statins) ,DD1: Drug Plan Customer Service,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",DD3: Member Experience with the Drug Plan,DD4: Patient Safety and Accuracy of Drug Pricing,Part D Summary,C Special Needs Plan (SNP) Care Management,C Care for Older Adults – Pain Assessment,HD4: Member Complaints and Changes in the Health Plan's Performance,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD4: Drug Safety and Accuracy of Drug Pricing,D Medication Adherence for Diabetes Medications,D Medication Adherence for Hypertension (RAS antagonists),D Medication Adherence for Cholesterol (Statins),D MTM Program Completion Rate for CMR,C Medication Reconciliation Post-Discharge,C Statin Therapy for Patients with Cardiovascular Disease,D Statin Use in Persons with Diabetes (SUPD),C Controlling High Blood Pressure,C Transitions of Care,C Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions,Year,Overall
6585,H3342 ,Local CCP ,"EMPIRE HEALTHCHOICE ASSURANCE, INC. ",Empire BlueCross BlueShield ,"Elevance Health, Inc. ",3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,3.0,2.0,5.0,4.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,2023,False
6586,H3344 ,Local CCP ,INDEPENDENT HEALTH BENEFITS CORPORATION ,Independent Health ,"Independent Health Association, Inc. ",5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,0.0,4.0,0.0,5.0,2.0,0.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,0.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,2023,5
6587,H3347 ,Local CCP ,"ELDERPLAN, INC. ",Elderplan ,"Elderplan, Inc. ",3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,2.0,0.0,3.0,5.0,0.0,1.0,1.0,3.0,1.0,3.0,2.0,5.0,0.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,2.0,0.0,5.0,1.0,3.5,5.0,0.0,0.0,5.0,0.0,3.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.5,5.0,5.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,2023,3.5
6588,H3351 ,Local CCP ,"EXCELLUS HEALTH PLAN, INC. ","Excellus Health Plan, Inc ","Lifetime Healthcare, Inc. ",5.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,5.0,0.0,3.0,0.0,5.0,2.0,0.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,0.0,4.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,4.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,5.0,0.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,2023,5
6589,H3359 ,Local CCP ,"HEALTHFIRST HEALTH PLAN, INC. ",Healthfirst Medicare Plan ,"Healthfirst, Inc. ",5.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,4.0,5.0,4.0,4.0,0.0,4.0,0.0,5.0,5.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,0.0,5.0,1.0,3.5,5.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,0.0,0.0,0.0,2023,3.5
6590,H3362 ,Local CCP ,"INDEPENDENT HEALTH ASSOCIATION, INC. ",Independent Health ,"Independent Health Association, Inc. ",5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,3.0,5.0,5.0,5.0,0.0,4.0,0.0,4.0,3.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,1.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,2023,5
6591,H3379 ,Local CCP ,"UNITEDHEALTHCARE OF NEW YORK, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,4.0,5.0,5.0,0.0,3.0,0.0,3.0,3.0,0.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,0.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,0.0,5.0,1.0,4.0,5.0,0.0,0.0,5.0,0.0,4.0,5.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,2023,4
6592,H3384 ,Local CCP ,False,Highmark BCBS of WNY and Highmark BS of NENY ,Highmark Health ,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,5.0,0.0,4.0,0.0,3.0,3.0,0.0,4.0,5.0,3.0,4.0,2.0,4.0,5.0,0.0,4.0,2.0,5.0,4.0,5.0,5.0,4.0,4.0,0.0,5.0,0.0,4.0,5.0,0.0,0.0,5.0,0.0,4.0,3.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,0.0,0.0,0.0,2023,4
6593,H3387 ,Local CCP ,"UNITEDHEALTHCARE OF NEW YORK, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,5.0,5.0,5.0,0.0,4.0,0.0,4.0,5.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,0.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,0.0,5.0,1.0,4.0,5.0,0.0,0.0,5.0,0.0,4.0,5.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.5,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,2023,4
6594,H3388 ,Local CCP ,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC. ",CDPHP Medicare Advantage ,"Capital District Physicians' Health Plan, Inc. ",5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,5.0,0.0,5.0,0.0,4.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,1.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,4.5,0.0,0.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,2023,5
6595,H3404 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA ,False,False,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,3.0,0.0,3.0,2.0,0.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,0.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,0.0,5.0,0.0,4.5,5.0,0.0,0.0,5.0,0.0,5.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.5,0.0,0.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,2023,4.5
6596,H3407 ,Local CCP ,"EL PASO FIRST HEALTH PLANS, INC. ",El Paso Health Advantage Dual SNP ,El Paso County Hospital District ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,False
6597,H3416 ,Local CCP ,"HEALTHPARTNERS UNITYPOINT HEALTH, INC. ",HealthPartners UnityPoint Health ,"HealthPartners UnityPoint Health, Inc. ",5.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,4.0,0.0,4.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,4.0,0.0,0.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,0.0,5.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,4.5,0.0,0.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,2023,4.5
6598,H3418 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,5.0,0.0,5.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,1.0,0.0,5.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,4.0,4.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,0.0,0.0,0.0,2023,3.5
6600,H3442 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,5.0,0.0,4.0,0.0,2.0,3.0,0.0,1.0,3.0,1.0,3.0,2.0,3.0,4.0,0.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,0.0,5.0,0.0,3.5,5.0,0.0,0.0,4.0,0.0,4.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,2023,3
6602,H3447 ,Local CCP ,"HEALTHKEEPERS, INC. ",Anthem HealthKeepers ,"Elevance Health, Inc. ",3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,3.0,4.0,4.0,0.0,3.0,0.0,3.0,4.0,0.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,0.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,0.0,5.0,1.0,4.0,5.0,0.0,0.0,4.0,0.0,3.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,3.5,2.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,2023,4
6603,H3449 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA ,False,False,5.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,3.0,0.0,2.0,3.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,2.0,5.0,4.0,5.0,4.0,3.0,5.0,0.0,5.0,0.0,4.5,5.0,0.0,0.0,5.0,0.0,5.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.5,0.0,0.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,2023,4.5
6604,H3464 ,Local CCP ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,0.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,3.0,3.0,5.0,5.0,0.0,3.0,3.0,4.0,0.0,5.0,0.0,3.5,0.0,0.0,0.0,4.0,0.0,3.0,2.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,2023,3.5
6605,H3467 ,Local CCP ,"PROCARE ADVANTAGE, LLC ",ProCare Advantage ,First Sacramento Capital Funding LLC ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2023,False
6606,H3471 ,Local CCP ,HEALTH ALLIANCE NORTHWEST HEALTH PLAN ,False,The Carle Foundation ,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,0.0,2.0,0.0,4.0,3.0,0.0,2.0,4.0,4.0,3.0,1.0,4.0,5.0,0.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,0.0,4.0,0.0,3.5,5.0,0.0,0.0,5.0,0.0,5.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,3.5,0.0,0.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,2023,3
6607,H3499 ,Local CCP ,COORDINATED CARE CORPORATION ,Wellcare by Allwell ,Centene Corporation ,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,3.0,4.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.5,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,0.0,0.0,0.0,2023,3
6608,H3528 ,Local CCP ,"CONNECTICARE, INC. ",ConnectiCare ,"EmblemHealth, Inc. ",4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,0.0,4.0,0.0,3.0,2.0,0.0,4.0,5.0,4.0,3.0,2.0,2.0,5.0,0.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,4.0,0.0,3.5,5.0,0.0,0.0,5.0,0.0,4.0,5.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,0.0,0.0,4.0,5.0,4.0,4.0,5.0,4.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,2023,3.5
6609,H3533 ,Local CCP ,"HUMANA HEALTH COMPANY OF NEW YORK, INC. ",Humana ,Humana Inc. ,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,2.0,4.0,4.0,5.0,0.0,5.0,0.0,4.0,3.0,0.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,0.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,0.0,5.0,1.0,4.0,5.0,0.0,0.0,4.0,0.0,3.0,1.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,3.5,4.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,2023,4
6610,H3536 ,Local CCP ,"MATTHEW THORNTON HEALTH PLAN, INC. ",Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",2.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,0.0,3.0,3.0,0.0,0.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,4.0,0.0,3.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.5,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,2023,3
6612,H3557 ,Local CCP ,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND ,Blue Cross & Blue Shield of Rhode Island ,Blue Cross & Blue Shield of Rhode Island ,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,0.0,4.0,0.0,3.0,3.0,0.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,0.0,5.0,2.0,0.0,0.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,4.5,5.0,0.0,0.0,5.0,0.0,5.0,3.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.5,0.0,0.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,0.0,0.0,0.0,2023,5
6613,H3561 ,Local CCP ,"HEALTH NET COMMUNITY SOLUTIONS, INC. ",Wellcare by Health Net ,Centene Corporation ,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,2.0,5.0,4.0,4.0,0.0,3.0,0.0,5.0,4.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,1.0,0.0,4.0,1.0,3.0,3.0,0.0,0.0,4.0,0.0,3.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0,4.0,0.0,0.0,0.0,2023,3
6614,H3597 ,Local CCP ,AETNA HEALTH INC. (ME) ,Aetna Medicare ,CVS Health Corporation ,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,4.0,5.0,3.0,4.0,0.0,3.0,0.0,3.0,2.0,0.0,3.0,5.0,3.0,4.0,2.0,5.0,5.0,0.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,0.0,5.0,1.0,4.0,5.0,0.0,0.0,5.0,0.0,4.0,3.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,0.0,0.0,0.0,2023,4
6615,H3632 ,Local CCP ,MEDICA COMMUNITY HEALTH PLAN ,Medica ,Medica Holding Company ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,False
6616,H3653 ,Local CCP ,"PARAMOUNT CARE, INC. ",Paramount Elite Medicare Plans ,"Promedica Health System, Inc. ",5.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,5.0,0.0,4.0,0.0,4.0,3.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,0.0,4.0,0.0,5.0,4.0,0.0,0.0,5.0,0.0,5.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.5,0.0,0.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,2023,4.5
6617,H3655 ,Local CCP ,COMMUNITY INSURANCE COMPANY ,Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,3.0,4.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,0.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,0.0,5.0,1.0,4.0,5.0,0.0,0.0,5.0,0.0,4.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,3.5,2.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,0.0,0.0,0.0,2023,4
6618,H3660 ,Local CCP ,SUMMACARE INC. ,SummaCare Medicare Advantage Plans ,Summa Health ,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,5.0,0.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,0.0,4.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,4.5,0.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,2023,5
6619,H3664 ,Local CCP ,AULTCARE HEALTH INSURING CORPORATION ,PrimeTime Health Plan ,Aultman Health Foundation ,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,0.0,5.0,0.0,3.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,2.0,5.0,3.0,5.0,4.0,4.0,5.0,0.0,4.0,0.0,4.5,5.0,0.0,0.0,5.0,0.0,5.0,2.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,2023,5
